"genus","species","taxon","taxon_provided","log10_range","mass_g","source_mass","n","kingdom","phylum","class","order","family","taxonomy_source","gbif_confidence","gbif_status","gbif_family","gbif_order","species_changed"
"Echinanthera","Echinanthera amoena","Echinanthera_amoena","Echinanthera amoena",0,44.2,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Colubridae","GBIF",99,"ACCEPTED","Colubridae",NA,FALSE
"Echinanthera","Echinanthera cephalomaculata","Echinanthera_cephalomaculata","Echinanthera cephalomaculata",0,38.9,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Colubridae","GBIF",99,"ACCEPTED","Colubridae",NA,FALSE
"Echinanthera","Echinanthera cephalostriata","Echinanthera_cephalostriata","Echinanthera cephalostriata",0,42.3,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Colubridae","GBIF",99,"ACCEPTED","Colubridae",NA,FALSE
"Echinanthera","Echinanthera cyanopleura","Echinanthera_cyanopleura","Echinanthera cyanopleura",0,41,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Colubridae","GBIF",99,"ACCEPTED","Colubridae",NA,FALSE
"Echinanthera","Echinanthera melanostigma","Echinanthera_melanostigma","Echinanthera melanostigma",0,86.9,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Colubridae","GBIF",99,"ACCEPTED","Colubridae",NA,FALSE
"Echinanthera","Echinanthera undulata","Echinanthera_undulata","Echinanthera undulata",0,44.4,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Colubridae","GBIF",99,"ACCEPTED","Colubridae",NA,FALSE
"Echinarachnius","Echinarachnius parma","Echinarachnius_parma","Echinarachnius parma",0.243038048686294,13.75,"Brose_etal_2018; Quaardvark",2,"Animalia","Echinodermata","Echinoidea","Echinolampadacea","Echinarachniidae","GBIF",99,"ACCEPTED","Echinarachniidae","Echinolampadacea",FALSE
"Echiniphimedia","Echiniphimedia hodgsoni","Echiniphimedia_hodgsoni","Echiniphimedia hodgsoni",0,1.9,"Brose_etal_2018",83,"Animalia","Arthropoda","Malacostraca","Amphipoda","Iphimediidae","GBIF",99,"ACCEPTED","Iphimediidae","Amphipoda",FALSE
"Echinocardium","Echinocardium cordatum","Echinocardium_cordatum","Echinocardium cordatum",0,0.2572,"Brose_etal_2018",4,"Animalia","Echinodermata","Echinoidea","Spatangoida","Loveniidae","GBIF",99,"ACCEPTED","Loveniidae","Spatangoida",FALSE
"Echinolittorina","Echinolittorina lineolata","Nodilittorina_lineolata","Nodilittorina lineolata",0,0.1845,"Brose_etal_2018",22,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","GBIF",98,"SYNONYM","Littorinidae","Littorinimorpha",TRUE
