Famille,Latin name,N,TL (cm),,,FL (cm),,,WT (g),,
,,,Mean,SD,Range (min-max),Mean,SD,Range (min-max),Mean,SD,Range            (min-max)
,Polydactylus virginicus,11,20.2,1.5,17.5-23,16.8,1.1,15-19,84.8,22.6,50-335.1
Pomacanthidae,Holacanthus tricolor*,72,17.1,3.2,11.5-23.5,16.7,2.9,11.5-22.5,148.2,75.6,46.3-161.3
,Abudefduf saxatilis,93,15.3,1.1,12.5-18.5,13.1,1.0,10.5-16,80.0,17.3,44-1208
Priacanthidae,Heteropriacanthus cruentatus,70,22.2,4.0,14.5-43,22.4,3.9,14.5-43,202.7,140.5,60.3-640.8
,Priacanthus arenatus,85,28.4,4.6,19.5-37,27.7,4.0,19.5-35,346.1,131.6,115.5-244.2
Scaridae,Scarus iseri*,39,19.3,2.0,16-23,19.3,2.0,16-23,141.7,45.4,77-734
,Scarus taeniopterus*,329,20.0,2.2,10.5-32.5,20.0,2.1,10.5-30.5,157.1,62.0,36.3-1310
,Scarus vetula*,22,32.2,3.8,26.5-39,30.3,3.0,25.5-35,670.4,239.3,366.4-239.5
,Sparisoma aurofrenatum*,758,18.4,1.6,12-24,18.1,1.4,12-23,114.7,29.3,29.8-1056
,Sparisoma chrysopterum,850,25.3,4.1,12.5-40.5,23.6,3.5,12.5-36,285.8,146.3,33-571
,Sparisoma frondosum,44,24.0,3.3,17.5-31.5,22.7,2.8,17.5-29.5,247.2,105.8,100-1113.5
,Sparisoma rubripinne*,1486,27.5,2.8,17.5-38,26.9,2.6,16.5-37,418.5,121.8,85-1290.5
,Sparisoma viride*,357,27.7,4.7,16-44,25.6,3.7,16-37,406.5,201.2,76.5-290
Sciaenidae,Larimus breviceps,13,21.6,2.9,15-26,21.6,2.9,15-26,148.1,67.6,52.3-680
,Umbrina coroides,33,28.5,2.0,25-35.5,28.5,2.0,25-35.5,335.9,86.1,220-1315
Scombridae,Scomberomorus regalis,10,50.9,4.3,43-59,43.4,3.9,35.5-49.5,782.6,243.1,405-1388.6
Scorpaenidae,Pterois volitans,449,29.5,4.8,16.5-44.5,30.0,4.7,16.5-44.5,366.6,192.1,58.9-585.3
,Scorpaena plumieri,49,23.5,2.8,17-29.5,23.5,2.8,17-29.5,323.6,112.7,124.3-373.2
Serranidae,Alphestes afer*,101,20.6,2.0,16.5-26.5,20.7,2.0,16.5-26.5,159.7,56.5,72.4-363
,Cephalopholis cruentata*,60,22.1,2.4,15-30,22.2,2.4,15-30,169.4,56.0,48.4-645.5
,Cephalopholis fulva*,679,21.6,2.2,13-33,21.6,2.2,12.5-33,173.2,55.5,40-1504
,Epinephelus guttatus*,220,25.7,4.9,18-45,26.0,4.9,18-45,277.6,213.3,77-1900.6
,Epinephelus striatus*,14,38.3,5.0,32-46,38.3,4.9,32-45.5,982.8,471.3,498.9-189.9
,Paranthias furcifer,16,23.3,2.0,19.5-26.5,20.0,1.9,16.5-22.5,138.6,33.5,80.1-379.5
,Rypticus saponaceus,29,25.0,1.4,22-27.5,25.0,1.3,22.5-27.5,247.6,53.1,153-673
Sparidae,Archosargus rhomboidalis,362,20.7,2.9,15.5-31.5,18.8,2.5,14-28.5,189.1,85.6,72-1327.7
,Calamus bajonado,25,32.5,4.2,24-43,27.9,3.6,20-36,632.0,265.5,247.5-588.2
,Calamus calamus,44,23.8,4.0,16.5-30,20.8,3.5,14.5-27,255.6,121.2,77.6-292.1
,Calamus penna,11,23.3,1.2,20.5-25,20.7,1.2,18-22.5,215.1,50.8,145.4-545.9
,Calamus pennatula,131,24.3,3.4,18.5-31.5,21.4,3.0,16.5-28,275.7,114.3,118-8750
Sphyraenidae,Sphyraena barracuda,14,82.6,20.6,51-119,75.4,19.1,45-109,3311.6,2347.7,191.4-696
Synodontidae,Synodus intermedius,12,29.6,5.7,23-40.5,27.5,5.5,21-38,271.1,198.6,93-696
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
