Species,Endo.vs..Ecto,Mass..kg.,Dive.duration..min.,Maximum.dive.duration..min.,Temperature,Remarks,Literature.source,selected,Treenames
Cerorhinca monocerata,Endotherm,0.545500000000000000,0.712,2.183333333,40.2, temperature taken to be similar to the mean body temperature of Alcidae,"Kato, A., Y. Watanuki & Y. Naito (2003) Foraging behaviour of chick-rearing rhinoceros auklets Cerorhinca monocerata at Teuri Island, Japan, determined by acceleration-depth recording micro data loggers. J. Avian Biol. 34: 282-287.",1,Cerorhinca_monocerata
Chelonia mydas,Ectotherm,110.500000000000000000,9.5,89.2,29.3,summer,"Ballorain, K. (2010) Ecologie trophique de la tortue verte Chelonia mydas dans les herbiers marins et algueraies du sud-ouest de l'ocÇan Indien. Doctoral thesis, Department of Marine Biology, University of Strasbourg, France. 286pp.",1,Chelonia_mydas
Chrysemys picta bellii,Ectotherm,0.600000000000000000,9,60,10,,"Glass M.L., Boutilier, R.G., Heisler N., 1983. Ventilatory Control of Arterial in the Turtle Chrysemys picta bellii :
Effects of Temperature and Hypoxia. Journal of Comparative Physiology 151: 145-153.",1,Chrysemys_picta
Clangula hyemalis,Endotherm,0.900000000000000000,0.72,0.918333333,41.42, temperature taken to be similar to the mean body temperature of Merginae,"Halsey, L.G., P.J. Butler & T.M. Blackburn (2006) A phylogenetic analysis of the allometry of diving. Am. Nat. 167: 276-287.",1,Clangula_hyemalis
Condylura cristata,Endotherm,0.051480000000000000,0.1533,0.783333333,37.7,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","McIntyre, I.W., K.L. Campbell & R.A. MacArthur (2002) Body oxygen stores, aerobic dive limits and diving behaviour of the star-nosed mole (Condylura cristata) and comparisons with non-aquatic talpids. J. Exp. Biol. 205: 45-54.",1,Condylura_cristata
Crocodylus johnstoni,Ectotherm,5.060000000000000000,NA,344.5,23.5,,"Campbell HA, Sullivan S, Read MA, Gordos MA, and Franklin CE. 2010. Ecological and physiological determinants of dive duration in the freshwater crocodile. Functional Ecology 24:103-111.",1,Crocodylus_johnstoni
Crocodylus porosus,Ectotherm,9.750000000000000000,2.7,30,25," temperature from Hayward et al (2016) PeerJ 4, e2569","Grigg GC, Farwell W, Kinney J, Harlow P, Taplin L, Johansen K, and Johansen K. 1985. Diving and Amphibious Behaviour In Free-Living Crocodylus porosus. The Australian Zoologist 21:599-605. ",1,Crocodylus_porosus
Cystophora cristata,Endotherm,185.500000000000000000,16.563,52,37.6,Temperature taken from: Kovacs KM and Lavigne DM. 1986. Cystophora cristata. Mammalian species 258:1-9,"Folkow, L.P. & A.S. Blix (1999) Diving behaviour of hooded seals (Cystophora cristata) in the Greenland and Norwegian Seas. Polar Biol. 22: 61-74. ",1,Cystophora_cristata
Delphinapterus leucas,Endotherm,660.000000000000000000,13.3,22.9,35.4,"Temperature taken from:  KATSUMATA, E., FURUTA, C., KATSUMATA, H., WATANABE, G., & TAYA, K. (2005). Basal body temperature method for detecting ovarian cycle in the captive beluga (Delphinapterus leucas). Journal of Reproduction and Development, 0511010031-0511010031.","Martin, A.R. & T.G. Smith (1999) Strategy and capability of wild belugas, Delphinapterus leucas, during deep, benthic diving. Can. J. Zool. 77: 1783-1793.",1,Delphinapterus_leucas
Dermochelys coriacea,Ectotherm,432.787914200000000000,22.3,86.5,23,T1,"L¢pez-Mendilaharsu, M., C.F.D. Rocha, P. Miller, A. Domingo & L. Prosdocimi (2009) Insights on leatherback turtle movements and high use areas in the Southwest Atlantic Ocean. J. Exp. Mar. Biol. Ecol. 378: 31-39.",1,Dermochelys_coriacea
Deronectes algibensis,Ectotherm,0.000006100000000000,1.525,5.806666667,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_algibensis
Deronectes angusi,Ectotherm,0.000007940000000000,3.769,14.96666667,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_angusi
Deronectes aubei,Ectotherm,0.000006014290000000,0.763,1.583333333,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_aubei
Deronectes bicostatus,Ectotherm,0.000006021740000000,1.776,12.45,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_bicostatus
Deronectes brannanii,Ectotherm,0.000008937500000000,1.707,6.766666667,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_brannanii
Deronectes depressicollis,Ectotherm,0.000009083330000000,3.343,10.79166667,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_depressicollis
Deronectes fairmairei,Ectotherm,0.000006404170000000,2.837,6.075,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_fairmairei
Deronectes hispanicus,Ectotherm,0.000006748480000000,1.488,8.691666667,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_hispanicus
