Species,Endo.vs..Ecto,Mass..kg.,Dive.duration..min.,Maximum.dive.duration..min.,Temperature,Remarks,Literature.source,selected,Treenames
Eretmochelys imbricata,Ectotherm,5.423730000000000000,14.4,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.508470000000000000,23,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.677970000000000000,11,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.762710000000000000,8,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,6.101690000000000000,9.6,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,7.542370000000000000,21.8,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,8.135590000000000000,19.6,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,8.474580000000000000,9,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,8.559320000000000000,15.3,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,9.152540000000000000,24,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,10.762700000000000000,14.4,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,12.033900000000000000,9.2,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,1.779660000000000000,22.5,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,2.118640000000000000,12,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,2.966100000000000000,16,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,3.559320000000000000,13.677,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.423730000000000000,33.088,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.508470000000000000,19,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.677970000000000000,18.529,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,5.762710000000000000,27.353,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,6.101690000000000000,16.3,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,7.542370000000000000,19,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,8.135590000000000000,7.1,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,8.474580000000000000,14.6,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,8.559320000000000000,33.6,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,9.152540000000000000,44.6,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,10.762700000000000000,51.7,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,12.033900000000000000,40.2,NA,27,"temperature from Hayward et al (2016) PeerJ 4, e2569 (Sept-Nov 2005 Bloody Bay (19≠40 41N, 80≠05 38 W)","Blumenthal, J.M., T.J. Austin, J.B. Bothwell, A.C. Broderick, G. Ebanks-Petrie, J.R. Olynik, M.F. Orr, J.L. Solomon, M.J. Witt & B.J. Godley (2009) Diving behaviour and movements of juvenile hawksbill turtles Eretmochelys imbricata on a Caribbean coral reef. Coral Reefs 28: 55—65.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,52.35,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,64.43,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,77.63,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,70.55,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,67,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,57.82,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,56.37,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,54.87,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,49.93,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,61.2,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,74.89,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,72.48,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,82.47,NA,25.5,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,74.09,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,78.92,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,70.87,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,61.74,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,72.48,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,49.29,NA,28.5,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,57.18,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,80.500000000000000000,54.76,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,43.76,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,56.44,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,56.22,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,63.78,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,80.98,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,72.83,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,53.4,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,44.56,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,41.21,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,44.56,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,41.69,NA,NA,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,36.1,NA,28.5,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,49.03,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,58.46,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,72.19,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,62.93,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,79.22,NA,25.5,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,71.24,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,57.5,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,50.79,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
Eretmochelys imbricata,Ectotherm,77.000000000000000000,43.66,NA,NA,night,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",0,
