Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
1146,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,Adult,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Pupa,Mean,N,24,28.0,,4,,1.89,2.12E+00,Alternate species mass,,,,,m^3 per pred per day,1146,0.16,4.66E-07,1.91E-07,2.75E-06,1.00E+00,9.68E-09,1.89E+00,200,"48h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1147,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,4th-6th instar,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Egg,Mean,N,24,28.0,,4,,1.89,8.80E-01,Alternate species length,Family,,,,m^3 per pred per day,1147,0.40,3.80E-07,2.94E-07,6.20E-07,1.49E-01,5.00E-10,5.58E-01,200,"48h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1148,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,4th-6th instar,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,1st-3rd instar,Mean,N,24,28.0,,4,,1.89,8.80E-01,Alternate species length,Family,,,,m^3 per pred per day,1148,0.44,1.16E-07,9.05E-08,1.58E-07,1.00E-08,5.00E-10,1.07E+00,200,"48h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1149,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,4th-6th instar,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Pupa,Mean,N,24,28.0,,4,,1.89,8.80E-01,Alternate species length,Family,,,,m^3 per pred per day,1149,0.06,1.30E-06,4.79E-07,2.44E-05,1.51E+00,9.73E-01,2.03E+00,200,"48h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1150,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,Adult,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Egg,Mean,N,24,28.0,,4,,1.89,2.12E+00,Alternate species mass,,,,,m^3 per pred per day,1150,0.30,2.54E-07,1.54E-07,4.48E-07,8.62E-01,7.39E-10,1.56E+00,200,"72h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1151,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,Adult,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,1st-3rd instar,Mean,N,24,28.0,,4,,1.89,2.12E+00,Alternate species mass,,,,,m^3 per pred per day,1151,0.39,1.47E-07,1.16E-07,2.63E-07,5.18E-02,5.00E-10,1.64E+00,200,"72h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1152,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,Adult,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Pupa,Mean,N,24,28.0,,4,,1.89,2.12E+00,Alternate species mass,,,,,m^3 per pred per day,1152,0.18,4.72E-07,2.04E-07,1.67E-06,9.44E-01,1.38E-09,1.79E+00,200,"72h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1153,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,4th-6th instar,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Egg,Mean,N,24,28.0,,4,,1.89,8.80E-01,Alternate species length,Family,,,,m^3 per pred per day,1153,0.40,3.27E-07,2.52E-07,6.07E-07,1.65E-01,4.24E-10,7.54E-01,200,"72h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1154,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,4th-6th instar,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,1st-3rd instar,Mean,N,24,28.0,,4,,1.89,8.80E-01,Alternate species length,Family,,,,m^3 per pred per day,1154,0.41,1.22E-07,9.36E-08,1.73E-07,5.58E-08,5.00E-10,1.12E+00,200,"72h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1155,LeCato 1978 ENVIRON ENTOMOL,Pred,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Tribolium castaneum,4th-6th instar,Metazoan,Invertebrate,Insect,Coleoptera,Cigarette beetle,Lasioderma serricorne,Pupa,Mean,N,24,28.0,,4,,1.89,8.80E-01,Alternate species length,Family,,,,m^3 per pred per day,1155,0.09,8.34E-07,3.68E-07,6.70E-06,1.58E+00,9.30E-01,2.27E+00,200,"72h, 4 pred per arena. Volume of 1 gram of flour = 1.89 cm3",
1156,Saljoqi et al 2015 J ENT ZOO STUDIES,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cryptolaemus montrouzieri,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,5-10d,Mean,N,24,28.0,,1,78.54,,9.83E+00,% adult mass,,1.68E-01,% adult weight,,m^2 per pred per day,1156,0.84,6.08E-03,5.55E-03,7.15E-03,2.50E-11,2.43E-11,3.72E-03,200,,
1157,Saljoqi et al 2015 J ENT ZOO STUDIES,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cryptolaemus montrouzieri,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,5-10d,Mean,N,24,28.0,,1,78.54,,8.98E+00,Alternate species length,Family,1.68E-01,% adult weight,,m^2 per pred per day,1157,0.83,7.38E-03,6.51E-03,9.47E-03,1.00E-03,2.29E-11,5.35E-03,200,,
1158,Saljoqi et al 2015 J ENT ZOO STUDIES,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cryptolaemus montrouzieri,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,5-10d,Mean,N,24,28.0,,1,78.54,,8.98E+00,Alternate species length,Family,1.68E-01,% adult weight,,m^2 per pred per day,1158,0.82,8.02E-03,6.80E-03,1.08E-02,1.75E-03,4.94E-12,5.72E-03,200,,
1159,Loughridge & Luff 1983 J APPL ECOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Harpalus rufipes,Adult,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,Adult apterous,Mean,N,24,16.0,,1,63.62,,1.05E+02,Alternate species length,Family,4.73E-01,Alternate species length,Family,m^2 per pred per day,1159,0.51,5.14E-03,4.59E-03,6.53E-03,9.06E-04,4.95E-10,3.57E-03,200,,
1160,Ofuya & Akingbohungbe 1988 INT J TROP INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes lunata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,3rd & 4th instar,Mean,N,24,27.0,,1,,,1.29E+01,Alternate species length,Family,8.80E-02,Average  species mass,,m^2.5 per pred per day,1160,0.56,1.30E-02,9.71E-03,1.81E-02,1.09E-02,8.84E-03,1.36E-02,200,,
1161,Ofuya & Akingbohungbe 1988 INT J TROP INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes lunata,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,3rd & 4th instar,Mean,N,24,27.0,,1,,,9.84E+00,Original species length,Family,8.80E-02,Average  species mass,,m^2.5 per pred per day,1161,0.54,1.14E-02,8.12E-03,1.53E-02,1.21E-02,9.20E-03,1.47E-02,200,,
1162,Ofuya & Akingbohungbe 1988 INT J TROP INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes lunata,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,3rd & 4th instar,Mean,N,12,27.0,,1,63.62,,1.92E+01,% adult mass,,8.80E-02,Average  species mass,,m^2 per pred per day,1162,0.37,8.27E-03,5.85E-03,1.09E-02,1.03E-02,6.29E-03,1.38E-02,200,,
1163,Mrosso et al 2013 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes lunata,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,Adult,Mean,N,24,26.0,,1,63.62,,9.84E+00,Original species length,Family,3.04E-01,Average  species mass,,m^2 per pred per day,1163,0.60,1.12E-02,8.92E-03,1.46E-02,9.23E-03,8.25E-03,1.03E-02,200,,
1164,Mrosso et al 2013 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes lunata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,Adult,Mean,N,24,26.0,,1,63.62,,1.29E+01,Original species length,Family,3.04E-01,Average  species mass,,m^2 per pred per day,1164,0.63,1.09E-02,8.69E-03,1.36E-02,8.27E-03,7.27E-03,9.29E-03,200,,
1165,Mrosso et al 2013 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes sulphurea,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,Adult,Mean,N,24,26.0,,1,63.62,,9.84E+00,Original species length,Family,3.04E-01,Average  species mass,,m^2 per pred per day,1165,0.59,1.05E-02,8.42E-03,1.45E-02,9.87E-03,8.96E-03,1.14E-02,200,,
1166,Mrosso et al 2013 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes sulphurea,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,Adult,Mean,N,24,26.0,,1,63.62,,1.29E+01,Original species length,Family,3.04E-01,Average  species mass,,m^2 per pred per day,1166,0.63,1.05E-02,7.56E-03,1.37E-02,8.78E-03,7.63E-03,9.84E-03,200,,
1167,Mrosso et al 2013 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,Adult,Mean,N,24,26.0,,1,63.62,,9.84E+00,Original species length,Family,3.04E-01,Average  species mass,,m^2 per pred per day,1167,0.54,1.03E-02,7.93E-03,1.32E-02,1.20E-02,1.06E-02,1.36E-02,200,,
1168,Mrosso et al 2013 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,Adult,Mean,N,24,26.0,,1,63.62,,1.29E+01,Original species length,Family,3.04E-01,Average  species mass,,m^2 per pred per day,1168,0.58,1.05E-02,7.92E-03,1.33E-02,1.04E-02,9.16E-03,1.16E-02,200,,
1169,Mandour et al 2006 INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua (Cydonia vicina nilotica),1st instar,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,2nd & 3rd instar,Mean,N,4,25.0,,1,7.07,70.69,,,,8.80E-02,Average  species mass,,m^2.5 per pred per day,1169,0.37,3.11E-03,2.12E-03,4.71E-03,3.79E-02,1.27E-02,6.04E-02,200,,
1170,Mandour et al 2006 INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua (Cydonia vicina nilotica),2nd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,2nd & 3rd instar,Mean,N,4,25.0,,1,7.07,70.69,,,,8.80E-02,Average  species mass,,m^2.5 per pred per day,1170,0.46,3.52E-03,2.68E-03,5.22E-03,9.89E-03,1.83E-03,2.21E-02,200,,
1171,Mandour et al 2006 INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua (Cydonia vicina nilotica),3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,2nd & 3rd instar,Mean,N,4,25.0,,1,7.07,70.69,,,,8.80E-02,Average  species mass,,m^2.5 per pred per day,1171,0.50,7.71E-03,5.73E-03,1.02E-02,1.03E-02,6.12E-03,1.37E-02,200,,
1172,Mandour et al 2006 INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua (Cydonia vicina nilotica),4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,2nd & 3rd instar,Mean,N,4,25.0,,1,7.07,70.69,,,,8.80E-02,Average  species mass,,m^2.5 per pred per day,1172,0.49,5.45E-03,3.88E-03,7.52E-03,5.75E-03,1.39E-08,9.72E-03,200,,
1173,Mandour et al 2006 INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua (Cydonia vicina nilotica),Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,2nd & 3rd instar,Mean,N,24,25.0,,1,7.07,70.69,1.29E+01,Alternate species length,Family,8.80E-02,Average  species mass,,m^2.5 per pred per day,1173,0.48,6.47E-03,5.16E-03,8.21E-03,5.42E-03,3.14E-03,7.78E-03,200,,
1174,Mandour et al 2006 INS SCI,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes propingua (Cydonia vicina nilotica),Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,2nd & 3rd instar,Mean,N,24,25.0,,1,7.07,70.69,9.84E+00,Alternate species length,Family,8.80E-02,Average  species mass,,m^2.5 per pred per day,1174,0.28,6.46E-03,4.12E-03,9.64E-03,9.44E-03,3.13E-03,1.43E-02,200,,
1175,Sohrabi and Shishehbor 2007 PAK J BIO SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Stethorus gilvifrons,Adult,Metazoan,Invertebrate,Arachnid,Mite,Strawberry spider mite,Tetranychus turkestani,Adult female,Raw data,N,24,30.0,,1,30.00,,2.10E+00,Alternate species length,Family,,,,m^2 per pred per day,1175,0.92,2.08E-03,1.78E-03,2.75E-03,4.98E-10,2.43E-11,5.84E-03,200,Arena size determine from Oke and Eyitayo 2010 Acta Bot. Croat. cowpea leaf area,
1176,He et al 2012 ECOTOXICOLOGY,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Serangium japonicum,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Silverleaf whitefly,Bemisia tabaci,Egg,Mean,N,24,25.0,,1,95.03,,2.85E+00,Alternate species length,Family,1.98E-04,Alternate species length,Order,m^2 per pred per day,1176,0.90,1.38E-02,1.27E-02,1.47E-02,6.53E-04,5.57E-04,7.43E-04,200,"Leaf treated with 40ppm imidacloprid, arena size is max possible (petri dish size given, leaf area is Nt)",
1177,He et al 2012 ECOTOXICOLOGY,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Serangium japonicum,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Silverleaf whitefly,Bemisia tabaci,Egg,Mean,N,24,25.0,,1,95.03,,2.85E+00,Alternate species length,Family,1.98E-04,Alternate species length,Order,m^2 per pred per day,1177,0.24,4.38E-02,3.70E-02,5.28E-02,2.12E-03,2.02E-03,2.24E-03,200,"Prey eggs treated with 5ppm imidacloprid, arena size is max possible (petri dish size given, leaf area is Nt)",
1178,He et al 2012 ECOTOXICOLOGY,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Serangium japonicum,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Silverleaf whitefly,Bemisia tabaci,Egg,Mean,N,24,25.0,,1,95.03,,2.85E+00,Alternate species length,Family,1.98E-04,Alternate species length,Order,m^2 per pred per day,1178,0.89,1.27E-02,1.11E-02,1.41E-02,6.11E-04,4.65E-04,7.33E-04,200,"Predator exposed to 5ppm imidacloprid before experiment, arena size is max possible (petri dish size given, leaf area is Nt)",
1179,He et al 2012 ECOTOXICOLOGY,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Serangium japonicum,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Silverleaf whitefly,Bemisia tabaci,Egg,Mean,N,24,25.0,,1,95.03,,2.85E+00,Alternate species length,Family,1.98E-04,Alternate species length,Order,m^2 per pred per day,1179,0.91,1.35E-02,1.29E-02,1.41E-02,6.43E-04,5.72E-04,7.31E-04,200,"N imidacloprid (control), arena size is max possible (petri dish size given, leaf area is Nt)",
1180,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,4th instar,Mean,N,24,25.0,,1,19.00,,4.86E+00,% adult mass,,1.74E-01,% adult mass,,m^2 per pred per day,1180,0.98,2.08E-03,1.97E-03,2.43E-03,2.25E-03,1.77E-03,3.13E-03,200,in 2D arena,
1181,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,4th instar,Mean,N,24,25.0,,1,19.00,,1.29E+01,% adult mass,,1.74E-01,% adult mass,,m^2 per pred per day,1181,0.99,1.96E-03,1.88E-03,2.06E-03,1.39E-03,9.75E-04,1.85E-03,200,in 2D arena,
1182,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,4th instar,Mean,N,24,25.0,,1,19.00,,1.18E+01,Alternate species mass,,1.74E-01,% adult mass,,m^2 per pred per day,1182,0.98,1.99E-03,1.80E-03,2.34E-03,3.53E-03,2.52E-03,4.71E-03,200,in 2D arena,
1183,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,4th instar,Mean,N,24,25.0,,1,38.00,,4.86E+00,% adult mass,,1.74E-01,% adult mass,,m^2 per pred per day,1183,0.80,2.91E-03,2.31E-03,3.90E-03,2.81E-03,4.96E-10,6.59E-03,200,in 3D arena,
1184,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,4th instar,Mean,N,24,25.0,,1,38.00,,1.29E+01,% adult mass,,1.74E-01,% adult mass,,m^2 per pred per day,1184,0.98,3.53E-03,3.30E-03,4.12E-03,9.69E-04,3.75E-04,2.10E-03,200,in 3D arena,
1185,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,4th instar,Mean,N,24,25.0,,1,38.00,,1.18E+01,Alternate species mass,,1.74E-01,% adult mass,,m^2 per pred per day,1185,0.96,3.96E-03,3.46E-03,4.63E-03,4.38E-03,2.61E-03,5.97E-03,200,in 3D arena,
1186,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Pea aphid,Acyrthosiphon pisum,4th instar,Mean,N,24,25.0,,1,19.00,,4.86E+00,% adult mass,,1.64E+00,Alternate species length,Family,m^2 per pred per day,1186,0.98,1.56E-03,1.44E-03,1.86E-03,9.00E-04,3.02E-11,2.61E-03,200,in 2D arena,
1187,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Pea aphid,Acyrthosiphon pisum,4th instar,Mean,N,24,25.0,,1,19.00,,1.29E+01,% adult mass,,1.64E+00,Alternate species length,Family,m^2 per pred per day,1187,0.98,1.76E-03,1.68E-03,2.12E-03,3.77E-04,2.49E-11,1.98E-03,200,in 2D arena,
1188,Madadi et al 2011 J PEST SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Pea aphid,Acyrthosiphon pisum,4th instar,Mean,N,24,25.0,,1,19.00,,1.18E+01,Alternate species mass,,1.64E+00,Alternate species length,Family,m^2 per pred per day,1188,0.99,1.84E-03,1.77E-03,2.16E-03,1.98E-03,1.45E-03,3.20E-03,200,in 2D arena,
1189,Agarwala 2001 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes sexmaculata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cowpea aphid,Aphis craccivora,Adult,Mean,N,16,20.0,,1,150.00,,2.00E+01,Alternate species mass,,4.24E-01,Alternate species length,Family,m^2 per pred per day,1189,0.95,1.55E-02,1.41E-02,1.71E-02,6.39E-03,3.32E-03,9.35E-03,200,,
1190,Khan 2009 J BIOL CONTROL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Adalia tetraspilota,1st instar,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,,Mean,N,24,25.0,,1,?,,,,,8.07E-01,Alternate species length,Family,m^2.5 per pred per day,1190,0.45,2.01E-03,1.48E-03,2.60E-03,7.17E-02,6.25E-02,8.38E-02,200,,
1191,Khan 2009 J BIOL CONTROL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Adalia tetraspilota,2nd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,,Mean,N,24,25.0,,1,?,,1.45E+00,% adult mass,,8.07E-01,Alternate species length,Family,m^2.5 per pred per day,1191,0.59,1.96E-03,1.50E-03,2.57E-03,3.98E-02,3.36E-02,4.62E-02,200,,
1192,Khan 2009 J BIOL CONTROL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Adalia tetraspilota,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,,Mean,N,24,25.0,,1,?,,4.50E+00,% adult mass,,8.07E-01,Alternate species length,Family,m^2.5 per pred per day,1192,0.61,1.92E-03,1.39E-03,2.46E-03,3.49E-02,2.97E-02,4.13E-02,200,,
1193,Khan 2009 J BIOL CONTROL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Adalia tetraspilota,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,,Mean,N,24,25.0,,1,?,,1.20E+01,% adult mass,,8.07E-01,Alternate species length,Family,m^2.5 per pred per day,1193,0.64,1.99E-03,1.49E-03,2.51E-03,2.96E-02,2.44E-02,3.57E-02,200,,
1194,Khan 2009 J BIOL CONTROL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Adalia tetraspilota,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,,Mean,N,24,25.0,,1,?,,1.09E+01,Alternate species length,Family,8.07E-01,Alternate species length,Family,m^2.5 per pred per day,1194,0.55,2.01E-03,1.52E-03,2.55E-03,4.74E-02,4.06E-02,5.44E-02,200,,
1195,Khan 2009 J BIOL CONTROL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Adalia tetraspilota,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,,Mean,N,24,25.0,,1,?,,1.09E+01,Alternate species length,Family,8.07E-01,Alternate species length,Family,m^2.5 per pred per day,1195,0.62,2.00E-03,1.58E-03,2.60E-03,3.33E-02,2.82E-02,3.84E-02,200,,
1196,Veeravel and Baskaran 1997 INSECT SCI APPLIC,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella transversalis,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,,Mean,N,24,28.0,,1,3.14,31.42,1.94E+01,Alternate species mass,,3.04E-01,Average species mass,,m^2.5 per pred per day,1196,0.93,4.42E-03,4.22E-03,4.65E-03,6.78E-03,6.59E-03,6.96E-03,200,,
1197,Veeravel and Baskaran 1997 INSECT SCI APPLIC,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Cheilomenes sexmaculata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton aphid,Aphis gossypii,,Mean,N,24,28.0,,1,3.14,31.42,1.94E+01,Alternate species mass,,3.04E-01,Average species mass,,m^2.5 per pred per day,1197,0.92,5.02E-03,4.79E-03,5.32E-03,9.34E-03,9.14E-03,9.56E-03,200,,
1198,Shukla et al 1990 J ADV ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Mustard aphid,Lipaphis erysimi,2nd instar,Mean,N,24,24.0,,1,44.18,,8.32E+00,Alternate species mass,,1.10E-01,% adult mass,,m^2 per pred per day,1198,0.89,2.20E-02,1.90E-02,2.49E-02,7.20E-04,6.56E-04,7.84E-04,200,"3 hr predation period, Used avg of adult male (21mg, Kumar er al) and female (19.39, Sabo et al) weights to calc instar mass",
