"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Ephestia_kuehniella","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Ephestia kuehniella",FALSE,"GBIF","Ephestia","Ephestia kuehniella",99,"ACCEPTED","Pyralidae","Lepidoptera","1878490"
"Epinephelus_malabaricus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus malabaricus",FALSE,"GBIF","Epinephelus","Epinephelus malabaricus",99,"ACCEPTED","Serranidae","Perciformes","2388220"
"Eriphia_smithii","Animalia","Arthropoda","Malacostraca","Decapoda","Eriphiidae","Eriphia smithii",FALSE,"GBIF","Eriphia","Eriphia smithii",99,"ACCEPTED","Eriphiidae","Decapoda","5968754"
"Eucyclops_subterraneus","Animalia","Arthropoda","Copepoda","Cyclopoida","Cyclopidae","Eucyclops subterraneus",FALSE,"GBIF","Eucyclops","Eucyclops subterraneus",99,"ACCEPTED","Cyclopidae","Cyclopoida","4326694"
"Eunoe_hartmanae","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Eunoe hartmanae",FALSE,"GBIF","Eunoe","Eunoe hartmanae",99,"ACCEPTED","Polynoidae","Phyllodocida","4308356"
"Eurycercus_longirostris","Animalia","Arthropoda","Branchiopoda","Diplostraca","Eurycercidae","Eurycercus longirostris",FALSE,"GBIF","Eurycercus","Eurycercus longirostris",99,"ACCEPTED","Eurycercidae","Diplostraca","5180036"
"Eurycercus_vernalis","Animalia","Arthropoda","Branchiopoda","Diplostraca","Eurycercidae","Eurycercus vernalis",FALSE,"GBIF","Eurycercus","Eurycercus vernalis",99,"ACCEPTED","Eurycercidae","Diplostraca","5180037"
"Fissurella_clenchi","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Fissurella clenchi",FALSE,"GBIF","Fissurella","Fissurella clenchi",99,"ACCEPTED","Fissurellidae","Lepetellida","2293584"
"Fissurella_rosea","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Fissurella rosea",FALSE,"GBIF","Fissurella","Fissurella rosea",99,"ACCEPTED","Fissurellidae","Lepetellida","2293592"
"Floridichthys_polyommus","Animalia","Chordata",NA,"Cyprinodontiformes","Cyprinodontidae","Floridichthys polyommus",FALSE,"GBIF","Floridichthys","Floridichthys polyommus",99,"ACCEPTED","Cyprinodontidae","Cyprinodontiformes","2348013"
"Gammarus_daiberi","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus daiberi",FALSE,"GBIF","Gammarus","Gammarus daiberi",99,"ACCEPTED","Gammaridae","Amphipoda","2219850"
"Gammarus_mucronatus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus mucronatus",FALSE,"GBIF","Gammarus","Gammarus mucronatus",99,"ACCEPTED","Gammaridae","Amphipoda","2219838"
"Gammarus_tigrinus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus tigrinus",FALSE,"GBIF","Gammarus","Gammarus tigrinus",99,"ACCEPTED","Gammaridae","Amphipoda","2219863"
"Garra_gotyla","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","Garra gotyla",FALSE,"GBIF","Garra","Garra gotyla",99,"ACCEPTED","Cyprinidae","Cypriniformes","2366892"
"Garra_imberba","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Garra imberba",FALSE,"GBIF","Garra","Garra imberba",99,"ACCEPTED","Cyprinidae","Cypriniformes","2366898"
"Genyatremus_cavifrons","Animalia","Chordata",NA,"Perciformes","Haemulidae","Genyatremus cavifrons",FALSE,"GBIF","Genyatremus","Genyatremus cavifrons",99,"ACCEPTED","Haemulidae","Perciformes","7856998"
"Gila_conspersa","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Gila conspersa",FALSE,"GBIF","Gila","Gila conspersa",99,"ACCEPTED","Cyprinidae","Cypriniformes","2360084"
"Glomeris_connexa","Animalia","Arthropoda","Diplopoda","Glomerida","Glomeridae","Glomeris connexa",FALSE,"GBIF","Glomeris","Glomeris connexa",99,"ACCEPTED","Glomeridae","Glomerida","1028165"
