Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
II,Amphipoda,Lanceolidae,Hyperia galba,,1.30,0.34,0.0352,5.6,0.00352,90,,Conover 1960,0.0352
II,Amphipoda,Lanceolidae,Hyperia galba,,1.34,0.35,0.0462,5.6,0.00462,90,,Conover 1960,0.0462
II,Amphipoda,Lanceolidae,Hyperia galba,,2.0641,0.850,0.0497,12.2,0.00616,87.6,,Ikeda 1970,0.0497
II,Amphipoda,Lanceolidae,Hyperia galba,,2.2458,0.794,0.0357,10,0.0041,0.067,88.5,Childress 1975,0.0357
II,Amphipoda,Lanceolidae,Hyperia gaudichaudii,MIN,1.4351,0.24,0.525,-0.8,0.10530,0.071,80,Ikeda 1988,0.525
II,Amphipoda,Lanceolidae,Hyperia sp.,MIN,2.9047,0.817,0.00927,6.7,1.2,87.1,,Ikeda 1970,0.00927
II,Amphipoda,Lanceolidae,Hyperia sp.,,5.3104,3.050,0.00131,17,0.00019,85.5,,Ikeda 1970,0.00131
II,Amphipoda,Lanceolidae,Hyperia sp.,,6.7903,3.900,0.000428,17,0.000072,83.2,,Ikeda 1970,0.000428
II,Amphipoda,Hyperiopsidae,Hyperiella antarctica,MIN,1.2496,0.8836,0.02,20,,,,Opalinski 1991,0.02
II,Isopoda,Idoteidae,Idotea baltica,,basteri,MIN,2.1,1.45,0.1385,20,,Khmeleva 1973,2.1
II,Cumacea,Bodotriidae,Iphinoe sp.,MIN,0.7579,1.000,0.00664,29,0.00109,83.6,,Ikeda 1970,0.00664
II,Cumacea,Bodotriidae,Iphinoe sp.,,2.1998,3.111,0.00062,30,0.0001,83.9,,Ikeda 1970,0.00062
II,Isopoda,Ligiidae,Ligia oceanica,MIN,1.2572,0.889,0.8,20,Byzova,1973,(data,,0.8
II,Isopoda,Ligiidae,Ligia oceanica,,1.3350,0.944,0.8,20,Byzova,1973,(data,,0.8
II,Isopoda,Ligiidae,Ligidium japonica,MIN,1.8074,1.278,0.025,20,Byzova,1973,(data,,0.025
II,Isopoda,Ligiidae,Ligidium japonica,,3.1424,2.222,0.0045,20,Byzova,1973,(data,,0.0045
II,Isopoda,Oniscidae,Mesidothea entomon,MIN,1.2885,0.9111,10,20,,,,Romanova & Khmeleva 1978,10
II,Isopoda,Oniscidae,Mesidothea entomon,,1.4503,1.0255,5,20,,,,Romanova & Khmeleva 1978,5
II,Isopoda,Oniscidae,Mesidothea entomon,,1.6190,1.1448,3.2,20,,,,Romanova & Khmeleva 1978,3.2
II,Isopoda,Oniscidae,Mesidothea entomon,,1.6859,1.1921,2,20,,,,Romanova & Khmeleva 1978,2
II,Isopoda,Oniscidae,Mesidothea entomon,,2.1579,1.5259,0.5,20,,,,Romanova & Khmeleva 1978,0.5
II,Mysidacea,Mysidae,Mesopodopsis slabberi,MIN,1.4500,1.0253,0.0325,20,,,,Braginski 1957,0.0325
II,Mysidacea,Mysidae,Mysis relicta,MIN,3.2052,2.2664,0.01,20,,,,Foulds & Roff 1976,0.01
II,Mysidacea,Lophogastridae,Neomysis awatschensis,MIN,2.0290,1.4347,0.0235,20,,,,Jawed 1973,0.0235
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,2.1807,1.5420,0.0195,20,,,,Jawed 1973,0.0195
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,2.3507,1.6622,0.0162,20,,,,Jawed 1973,0.0162
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,2.4176,1.7095,0.0148,20,,,,Jawed 1973,0.0148
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,2.4910,1.7614,0.0136,20,,,,Jawed 1973,0.0136
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,2.7249,1.9268,0.01086,20,,,,Jawed 1973,0.01086
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,2.9786,2.1062,0.00855,20,,,,Jawed 1973,0.00855
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,3.5358,2.5002,0.00543,20,,,,Jawed 1973,0.00543
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,4.2360,2.9953,0.00339,20,,,,Jawed 1973,0.00339
II,Mysidacea,Lophogastridae,Neomysis awatschensis,,4.6741,3.3051,0.00258,20,,,,Jawed 1973,0.00258
II,Mysidacea,Lophogastridae,Neomysis mirabilis,MIN,5.4931,3.8842,0.0118,20,,,,Kuzmicheva & Kukina 1974,0.0118
II,Mysidacea,Lophogastridae,Neomysis mirabilis,,5.6948,4.0268,0.0118,20,,,,Kuzmicheva & Kukina 1974,0.0118
II,Mysidacea,Lophogastridae,Neomysis mirabilis,,6.5317,4.6186,0.0118,20,,,,Klyashtorin & Kuzmicheva 1975,0.0118
II,Amphipoda,Niphargidae,Niphargus krameri,MIN,1.10,0.39,0.0149,10,,,,Simčič et al. 2005,0.0149
II,Amphipoda,Niphargidae,Niphargus rhenorhodanensis,MIN,1.2,0.44,0.013,11,,,,Hervant et al. 1997,0.013
II,Amphipoda,Niphargidae,Niphargus sphagnicolus,MIN,4.2,1.5,0.0059,10,,,,Simčič & Brancelj 2006,0.0059
II,Amphipoda,Niphargidae,Niphargus stygius,MIN,0.93,0.33,0.0304,10,,,,Simčič et al. 2005,0.0304
II,Amphipoda,Niphargidae,Niphargus virei,MIN,0.45,0.17,0.093,11,,,,Hervant et al. 1997,0.093
II,Isopoda,Oniscidae,Oniscus asellus,MIN,0.9433,0.667,0.15,20,Byzova,1973,,(data of Phillipson & Watson 1965,0.15
II,Isopoda,Oniscidae,Oniscus asellus,,1.5712,1.111,0.1,20,Byzova,1973,,(data of Phillipson & Watson 1965,0.1
II,Isopoda,Oniscidae,Oniscus asellus,,2.3575,1.667,0.02,20,Byzova,1973,,(data of Phillipson & Watson 1965,0.02
II,Isopoda,Oniscidae,Oniscus asellus,,2.8284,2.000,0.06,20,Byzova,1973,,(data of Phillipson & Watson 1965,0.06
II,Isopoda,Oniscidae,Oniscus asellus,,3.1424,2.222,0.018,20,Byzova,1973,(data,,0.018
II,Isopoda,Oniscidae,Oniscus asellus,,6.6001,4.667,0.01,20,Byzova,1973,(data,,0.01
II,Isopoda,Oniscidae,Oniscus asellus,,7.0711,5.000,0.0061,20,Byzova,1973,(data,,0.0061
II,Isopoda,Oniscidae,Oniscus asellus,,12.2570,8.667,0.0018,20,Byzova,1973,(data,,0.0018
II,Amphipoda,Talitridae,Orchestia bottae,MIN,0.9977,0.7055,0.11,20,0.0245,77.1,,Ivlev & Sutschenya 1961,0.11
II,Amphipoda,Talitridae,Orchestia bottae,,2.8593,2.0218,0.11,20,0.0245,77.1,,Ivlev & Sutschenya 1961,0.11
II,Amphipoda,Lysianassidae,Orchomene sp.,MIN,15.7189,22.000,0.00362,29.85,0.00091,75,,Ikeda 1970,0.00362
II,Amphipoda,Lysianassidae,Orchomenella chilensis,MIN,3.6430,0.644,0.05,0,,,,Opalinski 1991,0.05
II,Amphipoda,Lysianassidae,Orchomenella plebs,MIN,1.7593,0.311,0.161,0,0.032,80.2,,Opalinski 1991,0.161
II,Amphipoda,Lysianassidae,Orchomenella plebs,,1.9634,0.372,0.105,1,0.021,80,,Opalinski 1991,0.105
II,Amphipoda,Lysianassidae,Orchomenella plebs,,2.3840,0.372,0.194,-1.8,0.039,80,,Opalinski 1991,0.194
II,Amphipoda,Lysianassidae,Orchomenella plebs,,2.3888,0.394,0.148,-1,0.03,80,,Opalinski 1991,0.148
II,Amphipoda,Lysianassidae,Orchomenella plebs,,2.4929,0.389,0.091,-1.8,0.023,75,,Opalinski 1991,0.091
II,Amphipoda,Lysianassidae,Orchomenella plebs,,2.6543,0.539,0.072,2,0.014,80.6,,Opalinski 1991,0.072
II,Amphipoda,Lysianassidae,Orchomenella plebs,,3.1658,0.494,0.097,-1.8,,,,Opalinski 1991,0.097
II,Amphipoda,Lysianassidae,Orchomenella plebs,,3.2748,0.511,0.088,-1.8,0.029,67,,Opalinski 1991,0.088
II,Amphipoda,Lysianassidae,Orchomenella plebs,,3.3837,0.528,0.073,-1.8,0.019,74,,Opalinski 1991,0.073
II,Amphipoda,Lysianassidae,Orchomenella sp.,MIN,3.0981,0.511,0.206,-1,0.041,80,,Opalinski 1991,0.206
II,Amphipoda,Calliopiidae,Paracallisoma coecus,MIN,0.7727,0.2,0.2,5.5,0.063,0.045,68.2,Childress 1975,0.2
II,Amphipoda,Calliopiidae,Paracallisoma coecus,,1.1205,0.29,0.2,5.5,0.063,0.045,68.2,Childress 1975,0.2
II,Amphipoda,Potogeneiidae,Paramoera walkeri,MIN,1.3180,0.233,0.044,0,0.009,79.6,,Opalinski 1991,0.044
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,1.7940,0.278,0.02,-1.9,0.004,80,,Opalinski 1991,0.02
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,1.8554,0.328,0.044,0,0.009,79.6,,Opalinski 1991,0.044
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,2.1383,0.378,0.044,0,0.009,79.6,,Opalinski 1991,0.044
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,2.2627,0.400,0.02,0,0.005,75,,Opalinski 1991,0.02
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,2.3215,0.478,0.028,2.2,0.006,79,,Opalinski 1991,0.028
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,2.7381,0.556,0.02,2,0.005,75,,Opalinski 1991,0.02
II,Amphipoda,Potogeneiidae,Paramoera walkeri,,3.0369,0.494,0.021,-1.2,0.004,80,,Opalinski 1991,0.021
II,Mysidacea,Mysidae,Paramysis kessleri,MIN,2.3272,1.6456,0.03,20,,,,Braginski 1957,0.03
II,Mysidacea,Mysidae,Paramysis kessleri,,3.9899,2.8213,0.0515,20,,,,Braginski 1957,0.0515
II,Amphipoda,Paraphronimidae,Parandania boecki,MIN,1.9424,0.389,0.395,1.8,0.076,80.8,,Opalinski 1991,0.395
II,Amphipoda,Paraphronimidae,Parathemisto gaudichaudii,MIN,2.6677,0.44,0.07,-1,0.01312,0.074,80,Ikeda 1988,0.07
II,Amphipoda,Paraphronimidae,Parathemisto gaudichaudii,,4.4248,0.74,0.02,-0.8,0.00360,0.086,80,Ikeda 1988,0.02
II,Amphipoda,Phronimidae,Phronima sedentaria,MIN,0.2036,0.072,0.086,10,0.0637,0.057,92.6,Childress 1975,0.086
II,Amphipoda,Phronimidae,Phronima sedentaria,,0.9588,0.339,0.086,10,0.0637,0.057,92.6,Childress 1975,0.086
II,Amphipoda,Phronimidae,Phronima sp.,MIN,1.1351,1.472,0.145,28.75,8.17,94.4,,Ikeda 1970,0.145
II,Amphipoda,Pontogeneiidae,Pontogeneia antarctica,MIN,10.9132,1.800,0.005,-1,0.001,80,,Opalinski 1991,0.005
II,Isopoda,Porcellionidae,Porcellio laevis,MIN,0.7071,0.500,0.18,20,Byzova,1973,(data,,0.18
II,Isopoda,Porcellionidae,Porcellio laevis,,1.5712,1.111,0.012,20,Byzova,1973,(data,,0.012
II,Isopoda,Porcellionidae,Porcellio scaber,MIN,0.9433,0.667,0.06,20,Byzova,1973,(data,,0.06
II,Isopoda,Porcellionidae,Porcellio scaber,,1.5712,1.111,0.1,20,Byzova,1973,(data,,0.1
II,Isopoda,Porcellionidae,Porcellio scaber,,1.8851,1.333,0.25,20,Byzova,1973,(data,,0.25
II,Isopoda,Porcellionidae,Porcellio scaber,,3.1424,2.222,0.007,20,Byzova,1973,(data,,0.007
II,Isopoda,Serolidae,Serolis cornuta,MIN,0.3076,0.049,2.775,-1.5,,,,Luxmoore 1984,2.775
II,Isopoda,Serolidae,Serolis cornuta,,0.3224,0.057,2.59,0,,,,Luxmoore 1984,2.59
II,Isopoda,Serolidae,Serolis cornuta,,0.4181,0.082,1.64,1.5,,,,Luxmoore 1984,1.64
II,Isopoda,Serolidae,Serolis cornuta,,0.4870,0.106,1.4,3,,,,Luxmoore 1984,1.4
II,Isopoda,Serolidae,Serolis cornuta,,1.7261,0.275,2.775,-1.5,0.555,80,,Opalinski 1991,2.775
II,Isopoda,Serolidae,Serolis cornuta,,1.8215,0.322,2.59,0,0.518,80,,Opalinski 1991,2.59
II,Isopoda,Serolidae,Serolis cornuta,,2.3554,0.462,1.64,1.5,0.328,80.5,,Opalinski 1991,1.64
II,Isopoda,Serolidae,Serolis cornuta,,2.7293,0.594,1.4,3,0.28,80,,Opalinski 1991,1.4
II,Isopoda,Serolidae,Serolis polita,MIN,0.4205,0.067,0.345,-1.5,0.069,80,,Opalinski 1991,0.345
II,Isopoda,Serolidae,Serolis polita,,0.4503,0.098,0.35,3,0.07,80,,Opalinski 1991,0.35
II,Isopoda,Serolidae,Serolis polita,,0.4639,0.082,0.305,0,0.061,80,,Opalinski 1991,0.305
II,Isopoda,Serolidae,Serolis polita,,0.4792,0.094,0.3,1.5,0.06,80,,Opalinski 1991,0.3
II,Isopoda,Asellidae,Stenasellus virei,MIN,0.82,0.31,0.012,11,,,,Hervant et al. 1997,0.012
II,Amphipoda,Synopiidae,Synopia ultramarina,MIN,80.5855,115.6,0.0007,30.2,0.00009,87.1,,Ikeda 1970,0.0007
II,Amphipoda,Talitridae,Talitrus sylvaticus,MIN,0.7780,0.778,0.05,25,Byzova,1973,(data,,0.05
II,Amphipoda,Talitridae,Talitrus sylvaticus,,1.0720,1.072,0.021,25,Byzova,1973,(data,,0.021
II,Amphipoda,Talitridae,Talitrus sylvaticus,,1.3890,1.389,0.0085,25,Byzova,1973,(data,,0.0085
II,Amphipoda,Talitridae,Talitrus sylvaticus,,2.5000,2.500,0.0015,25,Byzova,1973,(data,,0.0015
II,Amphipoda,Talitridae,Talorchestia megalophtalma,MIN,0.9977,0.839,0.388,22.5,Byzova,1973,(data,,0.388
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.1428,0.961,0.291,22.5,Byzova,1973,(data,,0.291
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.3081,1.100,0.23,22.5,Byzova,1973,(data,,0.23
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.3545,1.139,0.278,22.5,Byzova,1973,(data,,0.278
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.4663,1.233,0.225,22.5,Byzova,1973,(data,,0.225
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.5460,1.300,0.2,22.5,Byzova,1973,(data,,0.2
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.7041,1.433,0.155,22.5,Byzova,1973,(data,,0.155
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.7446,1.467,0.19,22.5,Byzova,1973,(data,,0.19
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,1.8635,1.567,0.12,22.5,Byzova,1973,(data,,0.12
II,Amphipoda,Talitridae,Talorchestia megalophtalma,,2.2202,1.867,0.11,22.5,Byzova,1973,(data,,0.11
II,Amphipoda,Vibiliidae,Viblia antarctica,MIN,0.6716,0.11,0.061,-1.1,0.01214,0.082,80,Ikeda 1988,0.061
II,Amphipoda,Lysianassidae,Waldeckia obesa,MIN,0.8485,0.150,0.218,0,0.044,80,,Opalinski 1991,0.218
II,Amphipoda,Lysianassidae,Waldeckia obesa,,0.8498,0.161,0.238,1,0.048,80,,Opalinski 1991,0.238
II,Amphipoda,Lysianassidae,Waldeckia obesa,,1.0391,0.211,0.252,2,0.05,80,,Opalinski 1991,0.252
II,Amphipoda,Lysianassidae,Waldeckia obesa,,1.3907,0.217,0.295,-1.8,0.059,80,,Opalinski 1991,0.295
II,Amphipoda,Lysianassidae,Waldeckia obesa,,1.6188,0.267,0.229,-1,0.046,80,,Opalinski 1991,0.229
II,Ostracoda,Halocyprididae,Conchoecia sp.,MIN,8.799,6.222,0.000079,20,,,,Pavlova 1975,0.000079
II,Ostracoda,Cypridinidae,Cypridina hilgendorfii,MIN,9.6244,13.611,0.00198,30,0.00035,82.3,,Ikeda 1970,0.00198
II,Ostracoda,Cypridinidae,Gigantocypris agassizii,MIN,0.0141,0.0033,5.7,4,0.26,0.030,95.4,Childress 1975,5.7
II,Ostracoda,Cypridinidae,Gigantocypris agassizii,,0.0514,0.012,5.7,4,0.26,0.030,95.4,Childress 1975,5.7
II,Ostracoda,Cypridinidae,Gigantocypris mulleri,MIN,0.0909,0.015,1.84,-1.0,0.13966,0.084,92.4,Ikeda 1988,1.84
II,Ostracoda,Cypridinidae,Gigantocypris mulleri,,0.1264,0.021,0.74,-0.9,0.04797,0.082,93.5,Ikeda 1988,0.74
II,Ostracoda,Cypridinidae,Gigantocypris mulleri,,0.1339,0.024,1.88,0.2,0.16008,0.093,91.5,Ikeda 1988,1.88
II,Ostracoda,Cypridinidae,Gigantocypris mulleri,,0.1953,0.035,0.81,0.2,0.05486,0.082,93.2,Ikeda 1988,0.81
II,Ostracoda,Cypridinidae,Pyrocypris sp.,MIN,8.8388,12.500,0.00045,30,0.00008,82.2,,Ikeda 1970,0.00045
III,Decapoda,Oplophoridae,Acanthephyra acutifrons,MIN,0.5968,0.211,8.64,10,,,,Cowles et al. 1991,8.64
III,Decapoda,Oplophoridae,Acanthephyra acutifrons,,0.8240,0.206,8.64,5,,,,Cowles et al. 1991,8.64
III,Decapoda,Oplophoridae,Acanthephyra curtirostris,MIN,0.0662,0.0234,2.29,10,,,,Cowles et al. 1991,2.29
III,Decapoda,Oplophoridae,Acanthephyra curtirostris,,0.0904,0.0226,2.29,5,,,,Cowles et al. 1991,2.29
III,Decapoda,Oplophridae,Acanthephyra curtirostris,,0.1468,0.038,3.53,5.5,0.85,0.085,75.9,Childress 1975,3.53
III,Decapoda,Oplophoridae,Acanthephyra curtirostris,,3.1683,0.82,3.53,5.5,0.85,0.085,75.9,Childress 1975,3.53
III,Decapoda,Oplophridae,Acanthephyra smithi,MIN,1.6405,0.58,3.84,10,,,,Cowles et al. 1991,3.84
III,Decapoda,Oplophridae,Acanthephyra smithi,,1.9799,1.4,3.84,20,,,,Cowles et al. 1991,3.84
III,Decapoda,Oplophridae,Acanthephyra smithi,,3.6400,0.91,3.84,5,,,,Cowles et al. 1991,3.84
III,Decapoda,Axiidae,Calastacus quinqueseriatus,MIN,0.1665,0.035,3.21,2.5,,,,Childress et al. 1990,3.21
III,Decapoda,Axiidae,Calastacus quinqueseriatus,,0.4000,0.10,3.13,5,,,,Childress et al. 1990,3.13
III,Decapoda,Axiidae,Calastacus quinqueseriatus,,0.4808,0.17,1.73,10,,,,Childress et al. 1990,1.73
III,Decapoda,Axiidae,Calastacus quinqueseriatus,,0.5400,0.27,1.38,15,,,,Childress et al. 1990,1.38
III,Decapoda,Callianideidae,Callinectes sapidus,MIN,0.5739,0.4058,142.4,20,,,,Lewis & Haefner 1976,142.4
III,Decapoda,Callianideidae,Callinectes sapidus,,0.6863,0.4853,134.1,20,,,,Lewis & Haefner 1976,134.1
III,Decapoda,Callianideidae,Callinectes sapidus,,0.7689,0.5437,158.9,20,,,,Lewis & Haefner 1976,158.9
III,Decapoda,Callianideidae,Callinectes sapidus,,0.7771,0.5495,107.2,20,,,,Lewis & Haefner 1976,107.2
III,Decapoda,Cancridae,Cancer magister,MIN,0.5565,0.3935,948,20,,,,Cameron 1975,948
III,Decapoda,Cancridae,Cancer pagurus,MIN,0.093,0.033,460,10,,,,Aldrich 1975,460
III,Decapoda,Portunidae,Carcinus maenas,MIN,0.3718,0.2629,52.8,20,,,,Taylor et al. 1977,52.8
III,Decapoda,Portunidae,Carcinus maenas,,0.3847,0.2720,52.8,20,,,,Taylor et al. 1977,52.8
III,Decapoda,Portunidae,Carcinus maenas,,0.5261,0.372,13.3,20,,,,Ivlev & Sutschenya 1961,13.3
III,Decapoda,Portunidae,Carcinus maenas,,0.6180,0.437,12.7,20,,,,Ivlev & Sutschenya 1961,12.7
III,Decapoda,Parastacidae,Cherax destructor,MIN,0.4243,0.30,53,20,,,,Ellis & Morris 1995,53
III,Decapoda,Hyppolitidae,Chorismus antarcticus,MIN,0.8465,0.133,2.273,-1.7,0.593,74,,Opalinski 1991,2.273
III,Decapoda,Hyppolitidae,Chorismus antarcticus,,1.5759,0.320,5,2,1,80,,Opalinski 1991,5
III,Decapoda,Cleistosoma,edwardsii MIN,,1.6973,1.2002,0.818,20,,,,Dye & van der Veen 1980,0.818
III,Decapoda,Cleistosoma,edwardsii 1.8429,,1.3031,0.818,20,,,,,Dye & van der Veen 1980,20
III,Decapoda,Coenobitidae,Coenobita compressus,MIN,0.7979,0.5642,3.5,20,,,,Herreid & Full 1986,3.5
III,Decapoda,Coenobitidae,Coenobita compressus,,1.0936,0.7733,3.7,20,,,,Herreid & Full 1986,3.7
III,Decapoda,Crangonidae,Crangon abyssorum,MIN,0.2624,0.078,1.20,7.5,,,,Childress et al. 1990,1.20
III,Decapoda,Crangonidae,Crangon abyssorum,,0.4383,0.089,1.28,2.0,,,,Childress et al. 1990,1.28
III,Decapoda,Crangonidae,Crangon affinis,MIN,1.4159,1.0012,0.0506,20,,,,Ikeda 1970,0.0506
III,Decapoda,Crangonidae,Crangon communis,MIN,0.5346,0.189,2.91,10,,,,Childress et al. 1990,2.91
III,Decapoda,Crangonidae,Crangon communis,,0.7120,0.178,4.69,5,,,,Childress et al. 1990,4.69
III,Decapoda,Crangonidae,Crangon communis,,0.9780,0.489,2.14,15,,,,Childress et al. 1990,2.14
III,Decapoda,Xanthidae,Eriphia spinifrons,MIN,0.27,0.193,350,20,,,,Sutschenya & Abolmasova 1973,350
III,Decapoda,Gecarcinidae,Gecarcinus lateralis,MIN,0.0987,0.0698,40,20,,,,Taylor & Davies 1981,40
III,Decapoda,Gecarcinidae,Gecarcinus lateralis,,0.1754,0.1240,20,20,,,,Taylor & Davies 1981,20
III,Decapoda,Gecarcinidae,Gecarcinus lateralis,,0.3179,0.2248,140,20,,,,Cameron 1975,140
III,Decapoda,Gecarcinidae,Gecarcinus lateralis,,0.4387,0.3102,10,20,,,,Taylor & Davies 1981,10
III,Decapoda,Gecarcinidae,Gecarcinus lateralis,,0.5920,0.4186,53.4,20,,,,Herreid et al. 1983,53.4
III,Decapoda,Aristeidae/Sergestidae,Gecarcoidea natalis,MIN,0.7000,0.70,160,25,,,,Adamczewska & Morris 1994,160
III,Decapoda,Aristeidae/Sergestidae,Gennadas kempi,,/Petalidium,foliaceum,MIN,1.1635,0.21,1.64,0.3,Ikeda 1988,
III,Decapoda,Aristeidae/Sergestidae,Gennadas kempi,,/Petalidium,foliaceum,1.4505,0.26,0.96,0.2,0.28837,Ikeda 1988,1.4505
III,Decapoda,Aristeidae/Sergestidae,Gennadas kempi,,/Petalidium,foliaceum,1.5063,0.27,0.55,0.2,0.16089,Ikeda 1988,1.5063
III,Decapoda,Aristeidae,Gennadas propinquus,MIN,0.4134,0.107,1.62,5.5,0.378,0.089,76.7,Childress 1975,1.62
III,Decapoda,Aristeidae,Gennadas propinquus,,1.0432,0.27,1.62,5.5,0.378,0.089,76.7,Childress 1975,1.62
III,Decapoda,Glyphocrangonidae,Glyphocrangon vicaria,MIN,0.5278,0.20,9.85,11,,,,Childress et al. 1990,9.85
III,Decapoda,Glyphocrangonidae,Glyphocrangon vicaria,,0.5909,0.12,9.71,2,,,,Childress et al. 1990,9.71
III,Decapoda,Grapsidae,Hemigrapsus nudus,MIN,0.0106,0.0075,20,20,,,,Dehnel 1960,20
III,Decapoda,Grapsidae,Hemigrapsus nudus,,0.0151,0.0107,20,20,,,,Dehnel 1960,20
III,Decapoda,Grapsidae,Hemigrapsus oregonensis,MIN,0.0150,0.0106,20,20,,,,Dehnel 1960,20
III,Decapoda,Grapsidae,Hemigrapsus oregonensis,,0.0199,0.0141,20,20,,,,Dehnel 1960,20
III,Decapoda,Sundathelphusidae,Holthuisana transversa,MIN,0.1481,0.1047,30,20,,,,MacMillen 1978,30
III,Decapoda,Sundathelphusidae,Holthuisana transversa,,0.1921,0.1358,20,20,,,,MacMillen 1978,20
III,Decapoda,Sundathelphusidae,Holthuisana transversa,,0.2249,0.1590,15,20,,,,MacMillen 1978,15
III,Decapoda,Sundathelphusidae,Holthuisana transversa,,0.2572,0.1819,12,20,,,,MacMillen 1978,12
III,Decapoda,Sundathelphusidae,Holthuisana transversa,,0.3015,0.2132,10,20,,,,MacMillen 1978,10
III,Decapoda,Sundathelphusidae,Holthuisana transversa,,0.4332,0.3063,5,20,,,,MacMillen 1978,5
III,Decapoda,Sundathelphusidae,Holthuisana transversa,,0.7577,0.5358,2,20,,,,MacMillen 1978,2
III,Decapoda,Nephropidae,Homarus americanus,MIN,0.3454,0.2442,180,20,,,,Penkoff & Thurberg 1982,180
III,Decapoda,Oplophoridae,Hymenodora frontalis,MIN,0.3516,0.091,1.4,5.5,0.507,0.059,63.8,Childress 1975,1.4
III,Decapoda,Oplophoridae,Hymenodora frontalis,,0.6993,0.181,1.4,5.5,0.507,0.059,63.8,Childress 1975,1.4
III,Decapoda,Oplophoridae,Janicella spinicauda,MIN,1.7819,0.63,0.35,10,,,,Cowles et al. 1991,0.35
III,Decapoda,Oplophoridae,Janicella spinicauda,,2.7153,1.92,0.35,20,,,,Cowles et al. 1991,0.35
III,Decapoda,Sergestidae,Lucifer typus,MIN,10.9115,6.267,0.000466,17,0.000068,85.4,,Ikeda 1970,0.000466
III,Decapoda,Hippolytidae,Lysmata sp.,MIN,5.0678,7.167,0.0109,30,0.00147,86.5,,Ikeda 1970,0.0109
III,Decapoda,Palaemonidae,Macrobrachium acanthurus,MIN,1.3011,0.92,1.7,20,0.5,71,,Moreira et al. 1983,1.7
III,Decapoda,Palaemonidae,Macrobrachium heterochirus,MIN,1.2587,0.89,2.6,20,0.75,71,,Moreira et al. 1983,2.6
III,Decapoda,Palaemonidae,Macrobrachium olfersi,MIN,0.8485,0.60,1.2,20,0.35,71,,Moreira et al. 1983,1.2
III,Decapoda,Palaemonidae,Macrobrachium potiuna,MIN,0.6930,0.49,0.68,20,0.2,71,,Moreira et al. 1983,0.68
III,Decapoda,Majidae,Maja squinado,MIN,0.063,0.022,591,10,,,,Aldrich 1975,591
III,Decapoda,Xanthidae,Menippe mercenaria,MIN,0.1732,0.1225,31.6,20,,,,Leffler 1973,31.6
III,Decapoda,Xanthidae,Menippe mercenaria,,3.2227,2.2788,0.0242,20,,,,Moots & Epifanio 1974,0.0242
III,Decapoda,Xanthidae,Menippe mercenaria,,6.5721,4.6472,0.000303,20,,,,Moots & Epifanio 1974,0.000303
III,Decapoda,Panaeidae,Metapenaeus pruinosus,MIN,2.6248,1.856,0.184,20,,,,Reiche 1968,0.184
III,Decapoda,Galatheidae,Munidopsis verrilli,MIN,0.1427,0.03,5.62,2.5,,,,Childress et al. 1990,5.62
III,Decapoda,Crangonidae,Notocrangon antarcticus,MIN,2.6543,0.539,1,2,0.4,60,,Opalinski 1991,1
III,Decapoda,Oplophoridae,Notostomus elegans,MIN,0.6680,0.167,22.54,5,,,,Cowles et al. 1991,22.54
III,Decapoda,Oplophoridae,Notostomus elegans,,1.0126,0.358,22.54,10,,,,Cowles et al. 1991,22.54
III,Decapoda,Oplophoridae,Notostomus gibbosus,MIN,0.2400,0.06,10.40,5,,,,Cowles et al. 1991,10.40
III,Decapoda,Oplophoridae,Notostomus gibbosus,,0.4525,0.16,10.40,10,,,,Cowles et al. 1991,10.40
III,Decapoda,Oplophoridae,Notostomus sp.,MIN,0.1158,0.027,40,4,2.8,0.086,93.0,Childress 1975,40
III,Decapoda,Oplophoridae,Notostomus sp.,,0.1801,0.042,40,4,2.8,0.086,93.0,Childress 1975,40
III,Decapoda,Ocypodidae,Ocypode platytarsis,MIN,0.7846,0.5548,10,20,,,,Veerannan 1974,10
III,Decapoda,Ocypodidae,Ocypode platytarsis,,1.0964,0.7753,5,20,,,,Veerannan 1974,5
