Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Euchaetidae,Euchaeta antarctica,MIN,1.0069,0.178,0.003,0,0.0006,80,,Opalinski 1991,0.003
I,Copepoda,Euchaetidae,Euchaeta marina,MIN,5.4660,5.1,0.00146,24,0.000291,80,,Ikeda et al. 2001,0.00146
I,Copepoda,Euchaetidae,Euchaeta plana,MIN,1.1160,0.7891,0.003,20,,,,Opalinski 1991,0.003
I,Copepoda,Euchaetidae,Euchaeta plana,,12.3641,15.222,0.00095,28,0.000158,83.4,,Ikeda 1970,0.00095
I,Copepoda,Lucicitiidae,Euchirella amoena,MIN,9.1606,11.278,0.00266,28,0.00056,79,,Ikeda 1970,0.00266
I,Copepoda,Lucicitiidae,Euchirella bitumida,MIN,1.196,0.299,0.0094,5,,,,Thuesen et al. 1998,0.0094
I,Copepoda,Lucicitiidae,Euchirella bitumida,,1.417,0.278,0.0128,1.5,,,,Thuesen et al. 1998,0.0128
I,Copepoda,Lucicitiidae,Euchirella maxima,MIN,1.012,0.253,0.0188,5,,,,Thuesen et al. 1998,0.0188
I,Copepoda,Lucicitiidae,Euchirella rostrata,MIN,3.2340,1.617,0.00158,15,0.000316,80,,Nival et al. 1972,0.00158
I,Copepoda,Lucicitiidae,Euchirella rostrata,,4.3,1.2,0.0045,6.5,0.000890,80,,Conover 1960,0.0045
I,Copepoda,Lucicitiidae,Euchirella rostrata,,4.5,1.25,0.0041,6.5,0.000820,80,,Conover 1960,0.0041
I,Copepoda,Lucicitiidae,Euchirella rostrata,,5.7,1.6,0.0047,6.5,0.000947,80,,Conover 1960,0.0047
I,Copepoda,Tachidiidae,Euterpina acutifrons,MIN,6.0220,3.011,0.0000107,15,0.00000214,80,,Nival et al. 1972,0.0000107
I,Copepoda,Aetideidae,Gaetanus antarcticus,MIN,0.459,0.090,0.0257,1.5,,,,Thuesen et al. 1998,0.0257
I,Copepoda,Aetideidae,Gaetanus antarcticus,,0.628,0.157,0.0257,5,,,,Thuesen et al. 1998,0.0257
I,Copepoda,Aetideidae,Gaetanus kruppi,MIN,0.688,0.172,0.0072,5,,,,Thuesen et al. 1998,0.0072
I,Copepoda,Aetideidae,Gaetanus pileatus,MIN,2.132,0.533,0.0085,5,,,,Thuesen et al. 1998,0.0085
I,Copepoda,Aetideidae,Gaetanus tenuispinus,MIN,0.3168,0.056,0.00364,0,0.00545,85.0,,Kawall et al. 2001,0.00364
I,Copepoda,Metridiidae,Gaussia princeps,MIN,0.2925,0.084,0.0328,7,0.0054,0.098,83.7,Childress 1975,0.0328
I,Copepoda,Metridinidae,Gaussia princeps,,0.956,0.239,0.0356,5,,,,Thuesen et al. 1998,0.0356
I,Copepoda,Metridinidae,Gaussia princeps,,1.5008,0.431,0.0328,7,0.0054,0.098,83.7,Childress 1975,0.0328
I,Copepoda,Metridinidae,Gaussia princeps,,(males),1.032,0.258,0.0346,5,,,Thuesen et al. 1998,0.258
I,Copepoda,Augaptilidae,Haloptilus longicornis,MIN,1.706,1.206,0.00022,20,,,,Pavlova 1975,0.00022
I,Copepoda,Augaptilidae,Haloptilus longicornis,,3.244,2.294,0.00016,20,,,,Pavlova 1975,0.00016
I,Copepoda,Heterorhabdidae,Hemirhabdus grimaldii,MIN,0.252,0.063,0.0382,5,,,,Thuesen et al. 1998,0.0382
I,Copepoda,Heterorhabdidae,Heterorhabdus farrani,MIN,2.2062,0.39,0.003215,0,0.00034,89.5,,Kawall et al. 2001,0.003215
I,Copepoda,Pontellidae,Labidocera acuta,MIN,7.8458,10,0.00114,28.5,0.000228,80,,Ikeda et al. 2001,0.00114
