row_num,species_strain,valid_name,class_order,orig_units,MIN,qou,qWkg,TC,q25Wkg,Mpg_pg,source,culture_age,comments,mass_g
44,Bacillus megaterium (KM),Bacillus megate-,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,,7.7,13,30,9.19,7,"Frederick et al. 1974 [Bisset 1953, Fig. 17, rods 1.4×4.3 μm]",Flasks with washed cells equilibrated Warburg bath for total of 30 min; respi- ration measured for least 60 min; respira- tion of cells starved for 2 hr (by shaking phosphate buffer),Obligately aerobic asporogenous strain in a Respiration of unstarved cells was 11 μl DM)−1 hr−1 O (mg 2 at in,7e-12
45,Bacillus megaterium (ATCC 19213),Bacillus megate-,“Bacilli”: Bacillales natoms protein)−1,O (mg min−1,,<40,25,30,17.68,7,"Decker & Lang 1977 [Bisset 1953, Fig. 17, rods 1.4×4.3 μm]",Log-phase harvested cells (strain ATCC 19213) respired at rate of less than 10% of 400 natoms O (mg protein)−1 min−1 = W/kg; respiration measured for 1 min,a 25,7e-12
46,Bacillus megaterium (NCTC 9848),Bacillus megate-,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,,28,47,37,20.46,7,"Bishop et al. 1962 [Bisset 1953, Fig. 17, rods 1.4×4.3 μm]",Cells harvested at end of the logarithmic growth phase,the,7e-12
47,Bacillus megaterium (KM),Bacillus megate-,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,,35,58,25,58.00,7,"Marquis 1965 [Bisset 1953, Fig. 17, rods 1.4×4.3 μm]",Cells harvested in phase of declining growth rate; respira- tion measured for min,the 90,7e-12
48,Bacillus popilliae (NRRL B-2309-P),Bacillus popilliae,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,MIN,0.5,0.8,30,0.57,0.8,"Pepper & Costi- low 1964 [Mi- truka et al. 1967, Fig. 1, rods 0.6×2- 4 μm]",Cells harvested in stationary phase after 24 hr incubation,"the Bacterium causing ""milky disease"" of the Japanese beetle (Popilla japonica) larvae Similar respiration rates were measured for B. lentimorbus",8e-13
49,Bacillus pumilus (ATCC 70),Bacillus pumilus,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,MIN,3,5,30,3.54,0.7,"Jurtshuk & McQuitty 1976 [Hayase et al. 2004, rods 0.5- 0.7×2.0-3.0 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,6.999999999999999e-13
50,Bacillus stearothermophilus (PH24),Bacillus,“Bacilli”: Bacillales μl DM)−1 min)−1,O (14.2 mg 2 (30,MIN,35,8.2,50,1.45,0.7,"Buswell 1975 [Montesinos et al. 1983, Coulter counter]",Cells harvested in late exponential phase (14- 16 hr of growth phenol) at 55 C and either used immedi- ately or stored at −20 C; respiration meas- ured for 30 min,"The organism, obligate thermophile, was isolated from industrial sediment at on Ravenscraig Steel Works near Mother- well, Scotland.",6.999999999999999e-13
51,Bacillus subtilis (W- 23),Bacillus subtilis,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,MIN,2,3.3,30,2.33,1.4,"Jurtshuk & McQuitty 1976 [Kubitschek 1969, Coulter counter]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration); respiration was 2 μl DM)−1 hr−1 (mg for subtilis W-23 and (vulgatus) subtilis,the Crook 1952 reports 4-5 μl O (mg 2 DM)−1 hr−1 for spores after heat shock and 0.3 for untreated spores at 25 °C; Nitrogen content B. subtilis O N/DM=0.111; B. cereus N:DM=0.128 2 B. B. Bohin et al. 1976: sporulating bacteria: DM)−1 min)−1 90 μl O (0.9 mg (40 = 2 250 W/kg at 37 C,1.3999999999999999e-12
52,Bacillus subtilis (Marburg strain C4),Bacillus subtilis,“Bacilli”: Bacillales μl DM)−1 min)−1,O (5 mg 2 (700,,225,6.5,37,2.83,1.4,"Gary & Bard 1952 [Kubitschek 1969, Coulter counter]","""Resting cell suspen- sions were prepared harvesting cells from flask cultures after 6 8 hr incubation at C, the periods maximum respiratory and fermentative tivity."" Respiration cells grown on ""com- plex medium"" (Fig. (C-cells) was 225 DM)−1 O (5 mg (700 2 min)−1= 6.5 W/kg; cells grown on ""simple medium"" (S-cells) respired at 600 μl DM)−1 (5 mg (700 min)−1= 17 W/kg",by to 37 of ac- of 7) μl O 2,1.3999999999999999e-12
53,Bacillus subtilis (ATCC 6633),Bacillus subtilis,“Bacilli”: Bacillales μmol mg hr)−1,O (100 2 DM)−1 (2,,29.8,5.6,30,3.96,1.4,"Gronlund & Campbell 1961 [Kubitschek 1969, Coulter counter]",Cells harvested after 20 hr growth; respira- tion measured for 2,hr,1.3999999999999999e-12
