row_num,species_strain,valid_name,class_order,orig_units,MIN,qou,qWkg,TC,q25Wkg,Mpg_pg,source,culture_age,comments,mass_g
138,Nitrobacter agilis,Nitrobacter,Alphaproteobacteria: μl Rhizobiales tein)−1,O (mg pro- 2 hr−1,MIN,12,10,30,7.07,0.24,"Smith & Hoare 1968 [Tappe et al. 1999, 0.17-0.3 μm3]",Incubation time 20 hr,"Facultative heterotroph otherwise growing on nitrite, =Nitrobacter wino- gradskyi (Pan 1971) Protein to dry mass ratios (Protein/DM) are 0.55, 0.47 and 0.44 for autotrophic, autotrophic plus 1mM acetate, and autotrophic plus 5mM acetate, grown cells, respectively.",2.4e-13
139,Nitrobacter agilis (ATCC 14123),Nitrobacter,Alphaproteobacteria: ng-atoms protein)−1 Rhizobiales,O (mg min−1,,20,11,25,11.00,0.24,"Hollocher et al. 1982 [Tappe et al. 1999, 0.17-0.3 μm3]","Cells grown at 30 C the late exponential phase, stored for more than 3 days at C before measure- ments",to 1 mg WM ≈ 0.1 mg protein no 0,2.4e-13
140,Nitrosomonas eu- ropaea,Nitrosomonas,Betaproteobacteria: ng-atoms protein)−1 Nitrosomonadales,O (mg min−1,MIN,20,11,25,11.00,0.6,"Hollocher et al. 1982 [Tappe et al. 1999, 0.5-0.7 μm3]","Bacteria grown at C to the late exponen- tial phase, stored no more than 3 days 0 C",30 1 mg WM ≈ 0.1 mg protein for at,6e-13
141,Nocardia corallina,Nocardia coral-,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,1,1.7,30,1.20,2.1,"Robertson & Batt 1973 (rods, 0.8- 1.2×2-4 μm)",Cells harvested at the end of growth phase; respiration measured after 45 hours of star- vation; viability more than 90% Respiration rate fell from 10 to 1 μl O (mg 2 DM)−1 hr−1 during the first 45 hr of the total 450 hr' period of star- vation Midwinter & Batt 1953 report 1-12 μl DM)−1 hr−1 (mg for cells grown on differ- ent substrates for 24- 96 hr at 30 C; respira- tion measured for about 3 hr,"Soil bacterium 4.3×109 Dry mass data (Fig. 1): cells (90% viable) make up 1.6 mg dry mass: 10−12 cell−1 0.4 × g dry mass Cell mass estimated from linear dimen- sions given by Robertson & Batt (1973), 2-4 μm (length) × 0.8-1.2 μm (diame- 10−12 cell−1 ter), is greater, 2.4× g O 2",2.1e-12
142,Nocardia corallina (A-6),Nocardia coral-,Actinobacteria: Acti- μl nomycetales DM)−1 min)−1,O (4.8 mg 2 (220,,40,4,30. 3,2.77,2.1,"Raymond et al. 1967 [Robertson & Batt 1973, rods, 0.8-1.2×2-4 μm]",Cells grown for 72 respiration measured for 220 min.,hr;,2.1e-12
143,Nocardia asteroides (ATCC 3308),Nocardia far-,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,5,8.3,30,5.87,0.1,"Jurtshuk & McQuitty 1976 [Takeo & Uesaka 1975, Fig. 1, hyphae diam 0.6 μm mycellium; Kowalski et al. 1999, 1-1.25×3-5 μm airborne]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,1e-13
144,Nocardia sp. (Z1),Nocardia sp.,Actinobacteria: Acti- μl nomycetales DM)−1,O (42 mg 2 hr−1,MIN,56,2.2,30,1.56,,"Watson & Cain 1975 [BM9, ge- nus, hyphae diam 0.5-1.2 μm]",Cells grown for 24 hr,Bacterium isolated from soil with by enrichment with pyridine,
145,Nocardia erythropo- lis,Nocardia sp.,Actinobacteria: Acti- μl nomycetales DM)−1 min)−1,O (7.5 mg 2 (200,MIN,40,3,30,2.12,,"Cartwright & Cain 1959 [BM9, genus, hyphae diam 0.5-1.2 μm]",Respiration measured for 200 min Cain et al. 1968: Cells harvested after 24-36 hr incubation (Smith al. 1968); respiration measured for 90 min was 185 μl O (14.3 2 DM)−1 hr−1= mg 22 W/kg at 30 C,No change of respiration with time The organism was originally isolated from soil by enrichment with p- nitrobenzoate (Cain et al. 1958) et Classification and size determination made for the Nocardia genus. There is no N. erythropolis at www.bacterio.cict.fr.,
146,Nonomuraea sp. (ATCC 39727),Nonomuraea sp.,Actinobacteria: Acti- nmol protein)−1 nomycetales,O (mg 2 min−1,MIN,1,1,25,1.00,,Palese et al. 2003,Respiration of cells the lag phase (incu- bated for 15 hr) prior to exponential growth,"in Endogenous respiration increases from lag to exponential phase from 1 to 35 protein)−1 min−1, nmol O (mg then starts 2 to drop abruptly in the stationary phase (min. value measured after 160 hr incu- protein)−1 bation was 7 nmol O (mg 2 min−1)",
147,Micrococcus denitri- ficans,Paracoccus,Alphaproteobacteria: μl Rhodobacterales DM)−1,O (mg 2 hr−1,MIN,5,8.3,30,5.87,0.16,"Kornberg & Mor- ris 1965 [BM, spheres (0.5-0.9 μm in diam) or short rods (0.9-1.2 μm long)]",Cells harvested during the exponential phase,"Endogenous reserves of cells were ""de- pleted"" by 4 hr aerobic shaking at 30 C in another experiment",1.6e-13
148,Pasteurella pseudo- tuberculosis (NCTC 1101),Pasteurella,Gammaproteobacteria: μl Enterobacteriales DM)−1,O (mg 2 hr−1,MIN,7,12,25,12.00,,Bishop et al. 1962,Respiration measured immediately after harvesting the cells the end of the loga- rithmic growth phase,Max. resp. (in the presence of glucose) DM)−1 hr−1 was 331 μl O (mg 2 at,
149,Pediococcus cere- visiae (ATCC 8081),Pediococcus,“Bacilli”: “Lactoba- μl cillales” DM)−1,O (mg 2 hr−1,MIN,2,3.3,30,2.33,2.2,"Jurtshuk & McQuitty 1976 [BM9, genus, spheres 1.0-2.0 μm diam]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2.2000000000000003e-12
150,"Phaeospirillum fulvum (5K, KM MGU 325)",Phaeospirillum,Alphaproteobacteria: nmol Rhodospirillales protein)−1,O (mg 2 min−1,MIN,25.3,28,28,22.74,2,Berg et al. 2002 [BM],Bacteria harvested from early exponential cultures grown photo- heterotrophically,Purple bacteria,2e-12
151,Picrophilus oshimae,Picrophilus,Thermoplasmata (Ar- nmol protein)−1 chaea): Thermoplas- matales,O (mg 2 min−1,MIN,22.7,25,60,2.21,1,"Van de Vossen- berg et al. 1998 [Schleper et al. 1995, cocci, diam 1-1.5 μm]",Starvation for several hours,Thermoacidophilic archaeon,1e-12
152,Proteus morganii [=Morganella mor- ganii],Proteus mor-,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,MIN,3,5,30,3.54,0.4,"Jurtshuk & McQuitty 1976 [BM, rods, 0.6- 0.7×1-1.7 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,4e-13
153,Proteus vulgaris,Proteus vulgaris,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,MIN,3,5,37,2.18,0.4,"Bishop et al. 1962 [BM9, genus, rods 0.4-0.8×1-3 μm]",Respiration measured immediately after harvesting the cells (aerobic culture) at end of the logarithmic growth phase; dogenous respiration of anaerobic culture was below detection limit (0 orig. units),Max. resp. (in the presence of glucose) was 87 orig. units the en-,4e-13
154,Proteus vulgaris,Proteus vulgaris,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,3,5,30,3.54,0.4,"Jurtshuk & McQuitty 1976 [BM9, genus, rods 0.4-0.8×1-3 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,4e-13
155,Pseudomonas aeru- ginosa,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales (75,N)−1 O (mg 2 min)−1,MIN,50,6.7,30,4.74,0.5,"Rogoff 1962 [Montesinos et al. 1983, Coulter counter; see also datra of Hou et al. 1966, 0.2-0.8 pg]",Cells isolated from soil and closely sembling P. aerugi- nosa were grown 18 to 48 hr; respiration was measured for min,re- for 75,5e-13
156,Pseudomonas aeru- ginosa (120Na),Pseudomonas,Gammaproteobacteria: μmol Pseudomonadales mg hr)−1,O (100 2 DM)−1 (2,,55.5,10,30,7.07,0.5,"Gronlund & Campbell 1961 [Montesinos et al. 1983, Coulter counter; see also datra of Hou et al. 1966, 0.2-0.8 pg]","Cells (strain 120Na) harvested after 20 hr growth; respiration measured for 2 hr; for strain ATCC 9027 respiration was 80 orig. units Tomlinson & Camp- bell 1963: cells (strain 120Na) harvested after 20 hr growth at 30 C; respiration measured for 2 hr; 120 μl O (5 2 DM)−1 hr)−1 mg (2 = W/kg Gronlund & Campbell 1963: cells (strain ATCC 9027) har- vested after 20 hr growth at 30 C; respi- ration measured for hr; hourly rates de- creased from 4.75 to 4.0 to 3.19 μmol O 2 DM)−1 hr−1, (10 mg with no loss of viabil- ity (min. rate 12 W/kg) Gronlund & Campbell 1966: cells (strain ATCC 9027) har- vested after 20 hr growth at 30 C; respi- ration measured for hr; 95 μl O (5 mg 2 DM)−1 hr)−1 (2 = 16 W/kg Warren et al. 1960 report practically the same rate, 2500 μl O DM)−1 (100 mg (2 hr)−1 = 20 W/kg; the same age of culture (20 hr), strain ATCC 9027","Hou et al. 1966: Cell size of P. aerugi- nosa: 4.5×108 ×10−6 viable cells = 29.6 g = 10−6 17.5 × g protein, cells harvested ×10−12 after 8 hr growth: 1 cell = 0.06 g ×10−12 dry mass = 0.2 g wet mass For 24-hr phosphorus starved cells, they 4.18×108 observed viable cells = 44.4 ×10−6 10−6 g = 22.8 × g protein: 10−12 1 cell = 0.35 × g wet mass 7.68×108 For refed cells at 30 hr: viable ×10−6 10−6 cells = 182 g = 75.1 × g 20 10−12 protein: 1 cell = 0.8 × g wet mass Protein to DM (Protein/DM) ratio = 0.59, 0.51 and 0.41, respectively. 3 2 2",5e-13
157,Pseudomonas aeru- ginosa (ATCC 15442),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,17,28,30,19.80,0.5,"Jurtshuk & McQuitty 1976 [Montesinos et al. 1983, Coulter counter; see also datra of Hou et al. 1966, 0.2-0.8 pg]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,5e-13
158,Pseudomonas (pyo- ceanea) aeruginosa,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,28,47,37,20.46,0.5,"Bishop et al. 1962 [Montesinos et al. 1983, Coulter counter; see also datra of Hou et al. 1966, 0.2-0.8 pg]",Respiration measured immediately after harvesting the cells (aerobic culture) at the end of the logarithmic growth phase; anaero- bically grown culture respired at 15 μl O 2 DM)−1 hr−1 (mg = 25 W/kg,,5e-13
159,Pseudomonas aeru- ginosa (9/93 and 72/92),Pseudomonas,Gammaproteobacteria: nmol Pseudomonadales DM)−1,O (mg 2 min−1,,23.7,53,30,37.48,0.5,"Majtán et al. 1995 [Montesinos et al. 1983, Coulter counter; see also datra of Hou et al. 1966, 0.2-0.8 pg]",Cells harvested at exponential phase; respiration measured for 10 min,the,5e-13
160,Pseudomonas fluo- rescens (A.3.12),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (3 mg 2 hr−1,MIN,8,4.4,28,3.57,1,"Altekar & Rao 1963 [BM, 0.7- 0.8×2.0-3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]",Cells washed after incubation for 24 hr a growth medium on shaker; respiration of “resting” cells meas- ured for 4 hr; value the last hour taken (Fig. 4),Respiration decreases with time (mean in for the 4 hrs was ≈8 W/kg) a for,1e-12
161,Pseudomonas fluo- rescens (A.3.12),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,5.9,10,26,9.33,1,"Gunter & Kohn 1956 [BM, 0.7- 0.8×2.0-3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]",Respiration of washed cell suspensions har- vested from 16 to 18- hr yeast agar plates,,1e-12
162,Pseudomonas fluo- rescens (KBI),Pseudomonas,Gammaproteobacteria: μmol Pseudomonadales DM)−1,(10 mg hr−1,,4,15,30,10.61,1,"Hughes 1966 [BM, 0.7-0.8×2.0- 3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]",Cells grown for 22-24 hr at 25 C; respiration measured after equili- bration for 30 min at 30 C,,1e-12
163,Pseudomonas fluo- rescens (A.3.12),Pseudomonas,Gammaproteobacteria: μmol Pseudomonadales mg hr)−1,O (100 2 DM)−1 (2,,98,18,30,12.73,1,"Gronlund & Campbell 1961 [BM, 0.7-0.8×2.0- 3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]",Cells harvested after 20 hr growth; respira- tion measured for 2 at 30 C Tomlinson & Camp- bell 1963: 190 μl O 2 DM)−1 hr)−1 mg (2 = 32 W/kg for 20-hr cultures at 30 C,hr (5,1e-12
164,Pseudomonas fluo- rescens (A.3.12),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,20,33,30,23.33,1,"Jacoby 1964 [BM, 0.7-0.8×2.0-3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]",,,1e-12
165,Pseudomonas fluo- rescens (KBI),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1 min)−1,O (2 mg 2 (160,,110,34,30,24.04,1,"Kornberg 1958 [BM, 0.7-0.8×2.0- 3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]","Cells grown for 10-12 hr, harvested during logarithmic phase; respiration measured for 160 min",,1e-12
166,Pseudomonas fluo- rescens (ATCC 13525),Pseudomonas,Gammaproteobacteria: nmol Pseudomonadales DM)−1,O (mg 2 (min)−1,,45.7,60,30,42.43,1,"Eisenberg et al. 1973 [BM, 0.7- 0.8×2.0-3.0 μm; Gunter & Kohn 1956, 0.24 pg DM/cell = 0.8 pg/cell at 70% water content]",Respiration of washed cells harvested midlog or early sta- tionary phase,at,1e-12
167,Pseudomonas for- micans,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1 min)−1,O (mg 2 (40,MIN,4,10,30,7.07,7,"Sabina & Pivnick 1956 [Crawford 1954, rods 1-2×4- 5 μm]","Bacteria grown for days in a mixture soluble oils; incubated for 24 hr in a nutrient broth; aerated vigor- ously in nutrient broth for 18 hr; harvested and washed; washed suspension ""shaken 2 to 8 hr at room tem- perature in an attempt to reduce the endoge- nous respiration""; respiration measured for 210 min (Fig. value taken for the last 40 min","5 Bacteria isolated from used emulsifiers of of industrial oil, Illinois, USA Endogenous respiration decreases with time during 2-4 hr of respiration (Figs. 2, 4) for 2);",7e-12
168,Pseudomonas oleo- vorans,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,2,3.3,30,2.33,0.16,"Sabina & Pivnick 1956 [Lee & Chandler 1941, almost coccoid, 0.5×0.8 μm]","Bacteria grown for days in a mixture soluble oils; incubated for 24 hr in a nutrient broth; aerated vigor- ously in nutrient broth for 18 hr; harvested and washed; washed suspension ""shaken 2 to 8 hr at room tem- perature in an attempt to reduce the endoge- nous respiration""; respiration measured for 210 min (Fig. value taken for the last hour","5 Bacteria isolated from used emulsifiers of of industrial oil, England Endogenous respiration decreases with time during 2-4 hr of respiration (Figs. 2, 4) for 3);",1.6e-13
169,Pseudomonas oleo- vorans,Pseudomonas,Gammaproteobacteria: nmol DM)−1 Pseudomonadales,O (mg 2 −1 min,,16- 19,40,30,28.28,0.16,"Peterson 1970 [Lee & Chandler 1941, almost coccoid, 0.5×0.8 μm]",Cells harvested in late- log-phase,,1.6e-13
170,Pseudomonas putida (O1OC),Pseudomonas,Gammaproteobacteria: nmol Pseudomonadales DM)−1,O (25 mg 2 min−1,MIN,11,1,30,0.71,1.7,"Chapman & Rib- bons 1976 [BM, 0.7-1.1×2.0-4.0 μm]","Succinate-grown cells harvested after 16-20 hr incubation in late-logarithmic phase; respiration measured for 2 min; respiration of strains O1OC, ORC and O1 varied from to 29 nmol O (25 2 DM)−1 min−1 (1-2.6 W/kg) depending growth substrate.",The organism was isolated from orcinol enrichments the Respiration measured for 1 hr (strain WM)−1 hr−1 ORC) was 43 μl (20 mg (Fig. 3) = 12 W/kg 11 mg on,1.6999999999999998e-12
171,Pseudomonas putida (arvilla mt-2 (PaM1)),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales WM)−1,O (20 mg 2 hr−,,10,2.8,30,1.98,1.7,"Kunz & Chapman 1981 [BM, 0.7- 1.1×2.0-4.0 μm]",P. putida (arvilla) mt-2 cells grown for 24 hr on toluene or 48 hr on pseudocumene; respi- ration 10 μl O (20 mg 2 WM)−1 hr−1 = 2.8 W/kg,,1.6999999999999998e-12
172,Pseudomonas putida (biotype B),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 min−1,,0.27/ 6.1,4.4,30,3.11,1.7,"Sebek & Barker 1968 [BM, 0.7- 1.1×2.0-4.0 μm]","Cells harvested wards the end of exponential phase, shaken for 18 hr reduce endogenous respiration”",to- the “to,1.6999999999999998e-12
173,Pseudomonas putida (TM),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales WM)−1,O (10 mg 2 min−1,,0.25,8.3,30,5.87,1.7,"Donnelly & Da- gley 1980 [BM, 0.7-1.1×2.0-4.0 μm]",Cells harvested during exponential growth,Strain isolated from rotting oak leaves,1.6999999999999998e-12
174,Pseudomonas fluo- rescens-putida,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,11.2,19,37,8.27,1.7,"Chakrabarty & Roy 1964 [BM, 0.7-1.1×2.0-4.0 μm]",Cells grown to stationary phase (72 hr),the Respiration decreases from mid- exponential to late-exponential to sta- tionary phase (20.3 → 17.8 → 11.2 μl DM)−1 hr−1); O (mg in cells harvested at 2 20 hr (mid-exponential) and starved for 0-4 hr respiration decreases from 27 (0th) to 20 (2nd) to 16.5 (3rd) to 15.6 DM)−1 hr−1 (4th hr) μl O (mg 2,1.6999999999999998e-12
175,Pseudomonas putida (PRS1),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,10,17,30,12.02,1.7,"Meagher et al. 1972 [BM, 0.7- 1.1×2.0-4.0 μm]",Cells harvested during exponential growth,,1.6999999999999998e-12
176,Pseudomonas putida,Pseudomonas,Gammaproteobacteria: nmol Pseudomonadales DM)−1,O (mg 2 −1 min,,15,34,30,24.04,1.7,"Peterson 1970 [BM, 0.7-1.1×2.0- 4.0 μm]",Cells harvested in late- log-phase,,1.6999999999999998e-12
177,Pseudomonas sac- charophila,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,20- 28,33,30,23.33,,Doudoroff et al. 1956,Cells harvested from early stationary phase cultures,,
178,Pseudomonas sp. (B1),Pseudomonas,Gammaproteobacteria: nmol protein)−1 Pseudomonadales,O (mg 2 min−1,MIN,2,2.2,30,1.56,,"Van Ginkel et al. 1992 [BM, genus, rods 0.5-1.0×1.5- 5.0 μm]",Yeast-glucose plate inoculates were incu- bated in a stationary fashion at 30 washed; endogenous respiration measured for 5 min,"Bacteria isolated from activated sludge taken from a domestic seweage plant, The Netherlands C;",
179,Pseudomonas sp.,Pseudomonas,Gammaproteobacteria: μmol Pseudomonadales mg)−1,O (50 2 hr)−1 (4,MIN,13,8,30,5.66,,"Shaw 1956 [BM, genus, rods 0.5- 1.0×1.5-5.0 μm]",Bacteria grown for hr at 30 C; washed; respiration measured for 4 h,24 An airborne organism isolated in the laboratory; University of Otago; New Zealand; a fluorescent species of Pseu- domonas,
180,Pseudomonas sp.,Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,10,17,30,12.02,,"Sariaslani et al. 1982 [BM, genus, rods 0.5-1.0×1.5- 5.0 μm]",Bacteria harvested during log phase; respiration measured for about 1 h,"Bacteria isolated from California soil, USA.",
181,Pseudomonas sp. (OD1),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,2,3.3,25,3.30,,"Jayasuriya 1956 [BM, genus, rods 0.5-1.0×1.5-5.0 μm]",Bacteria grown oxalate for 40 hr at C,on 25,
182,Pseudomonas sp. (PN-1),Pseudomonas,Gammaproteobacteria: μmol Pseudomonadales mg (145,O (6.05 2 protein)−1 min)−1,MIN,6.5,8.3,30,5.87,,"Taylor 1983 [BM, genus, rods 0.5- 1.0×1.5-5.0 μm]",Endogenous respira- tion of anaerobically grown cells,,
183,Pseudomonas sp. P6 (NCIB 10431),Pseudomonas,Gammaproteobacteria: μmol Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,0.4,15,30,10.61,,"Jones & Turner 1973 [BM, genus, rods 0.5-1.0×1.5- 5.0 μm]",Respiration measured for not less than min,Synonym Acrhomobacter sp. P6 90,
184,Azotomonas insolita (ATCC 12412),Pseudomonas,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,11,18,30,12.73,,"Jurtshuk & McQuitty 1976 [BM, genus, rods 0.5-1.0×1.5-5.0]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),"the Size determination is made for Pseu- domonas genus, since ATCC 12412 correponds to a Pseudomonas sp.",
185,Pseudomonas sp. (B13),Pseudomonas,Gammaproteobacteria: μg Pseudomonadales DM)−1,O (mg 2 min−1,MIN,0.5,35,20,49.50,,"Tros et al. 1996 [BM, genus, rods 0.5-1.0×1.5-5.0 μm]",Bacteria grown about 210 hr in a recy- cling fermentor reach the stationary phase; endogenous respiration measured for 5-10 min of sample taken from recycling fermentor,"for Bacteria isolated from activated sludge taken from a domestic seweage plant, to The Netherlands a the mm3",
186,Streptomyces nitri- ficans,Pseudonocardia,Actinobacteria: Acti- μl DM)−1 nomycetes,O (mg 2 hr−1,MIN,1.5,2.5,30,1.77,,Isenberg et al. 1954,Mycellium grown 5-6 days,for 5 mg DM= 25 wet packed volume → DM/WM=0.2,
187,Rhizobium japoni- cum (61A76),Rhizobium,Alphaproteobacteria: μmol Rhizobiales mg (10,O (0.71 2 protein)−1 min)−1,MIN,0.1,16,23,18.38,0.7,"Peterson & LaRue 1982 [BM9, ge- nus, rods, 0.5- 0.9×1.2-3.0 μm]",Bacteria harvested mid-log phase growth,at Free-living bacteria of,6.999999999999999e-13
188,Rhizobium legumi- nosarum (128 C 53),Rhizobium,Alphaproteobacteria: μl Rhizobiales hr−1,N)−1 O (mg 2,MIN,57,9.5,30,6.72,0.6,Dietrich & Burris 1967 [BM],Bacteria cultured for weeks in an extract from wheat plants; respiration measured for 1 hr after 10 min equilibration,2,6e-13
189,Rhizobium meliloti (F-28),Rhizobium,Alphaproteobacteria: μl Rhizobiales DM)−1,O (mg 2 hr−1,MIN,7,12,30,8.49,0.7,"Jurtshuk & McQuitty 1976 [BM9, genus, rods, 0.5-0.9×1.2- 3.0 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration); respiration of strain 3DOa1 was 9 orig. units,the,6.999999999999999e-13
190,Rhodobacter sphaeroides (2R),Rhodobacter,Alphaproteobacteria: nmol Rhodobacterales protein)−1,O (mg 2 min−1,MIN,14.9,17,28,13.81,0.8,Berg et al. 2002 [Gunter & Kohn 1956 0.23 pg DM/cell = 0.8 pg/cell at 70% water content],Bacteria (strain 2R) harvested from early exponential cultures grown photoheterotro- phically,Purple bacteria,8e-13
191,Rhodopseudomonas spheroides,Rhodobacter,Alphaproteobacteria: μl Rhodobacterales DM)−1,O (mg 2 hr−1,,20.8,35,26,32.66,0.8,Gunter & Kohn 1956 [0.23 pg DM/cell = 0.8 pg/cell at 70% water content],Cells harvested from 16 to 18-hr yeast agar plates,"Cell mass estimated from dry mass data, Table 1, 0.23 pg DM/cell",8e-13
192,"Corynebacterium (7E1C, ATCC 19067)",Rhodococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,10,17,30,12.02,,Jurtshuk & McQuitty 1976,Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,
193,Rhodococcus sp. (094),Rhodococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,1.3,2.2,25,2.20,,Bruheim et al. 1999,Cells grown to the early stationary phase on oil,The isolate was obtained from enrich- ment cultures by using inocula from Norwegian coastal waters,
194,Nocardia opaca,Rhodococcus,Actinobacteria: Acti- μl nomycetales DM)−1 min)−1,O (14.8 mg 2 (60,MIN,60,7,30,4.95,,Cartwright & Cain 1959,Respiration measured for 60 min,,
195,Nocardia sp. (NCIB 11216),Rhodococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (5 mg 2 min−1,MIN,0.37,7.4,25,7.40,,Harper 1977,Bacteria grown at C to early exponential phase,"25 A microorganism capable of using ben- zonitrile as sole carbon, nitrogen and energy source was isolated by elective culture from mud obtained from the bed of the River Lagan in Belfast",
196,Rhodospirillum rubrum (2R KM MGU 301),Rhodospirillum,Alphaproteobacteria: nmol protein)−1 Rhodospirillales,O (mg 2 min−1,MIN,3.4,3.8,28,3.09,9,Berg et al. 2002 [BM],Bacteria harvested from early exponential cultures grown photo- heterotrophically; respiration measured in the dark,Purple bacteria Breznak et al. 1978 found half-life sur- vival time of 3-4 days in the dark for this species,9e-12
197,Vibrio costicola (NRCC 37001),Sallinivibrio,Gammaproteobacteria: μg “Vibrionales” DM)−1,O (mg 2 min−1,MIN,0.10,7,25,7.00,0.4,"Kushner et al. 1983 [Huang et al. 2000, rods, 0.5×1.5-3.2 μm]",Cells harvested just before the stationary phase; respiration varied from 0.10 DM)−1 1.14 μg O (mg 2 min−1 (7-80 W/kg) depending on salt concentration in medium,to the,4e-13
198,Salmonella typhi- murium (LT2),Salmonella,"Gammaproteobacteria: μl ""Enterobacteriales"" DM)−1 min)−1",O (1.36 mg 2 (10,MIN,2,15,37,6.53,0.66,"Hoffee & Engles- berg 1962 [Mon- tesinos et al. 1983, Coulter counter]",Cells harvested in exponential phase; respiration measured for 10 min,the,6.6e-13
199,Salmonella typhi- murium (ATCC 6444),Salmonella,"Gammaproteobacteria: μl ""Enterobacteriales"" DM)−1",O (mg 2 hr−1,,6,10,30,7.07,0.66 1.35,"Jurtshuk & McQuitty 1976 [Montesinos et al. 1983, Coulter counter] [Ku- bitschek 1969, Coulter counter]",Cells harvested at the late-logarithmic growth phase (two thirds of the maximal growth concentration),,
200,Serratia marcescens (D1),Serratia mar-,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (10 mg 2 hr)−1 (3.5,MIN,75,4,37,1.74,0.4,"Blizzard & Peter- son 1962 [BM, 0.5-0.8×0.9-2 μm]",Bacteria incubated 37 C for 18-20 hr on rotary shaker; respira- tion measured for hr; it grows with time,at Respiration grows (!) with time a 3.5,4e-13
201,Chromobacter prodigiosum (NCTC 1377),Serratia mar-,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,11,18,37,7.83,0.4,"Bishop et al. 1962 [BM, 0.5-0.8×0.9- 2 μm]",Respiration measured immediately after harvesting the cells the end of the loga- rithmic growth phase,Max. resp. (in the presence of glucose) DM)−1 hr−1 was 200 μl O (mg 2 at,4e-13
202,Serratia marcescens,Serratia mar-,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,8,13,30,9.19,0.4,"Jurtshuk & McQuitty 1976 [BM, 0.5-0.8×0.9- 2 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,4e-13
203,Serratia marcescens (8 UK),Serratia mar-,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,21,35,30,24.75,0.4,"Davis & BAteman 1960 [BM, 0.5- 0.8×0.9-2 μm]",Cells harvested after 16 hr growth,,4e-13
