row_num,species,U,orig_units,qou,qWkg,q25Wkg,TC,Mpg_pg,order,source,comments,mass_g
32,Nostoc sp. strain Mac,D,μl O (mg 2 DM)−1,23,26,9.85,39,,Nostocales,Ingram et al. 1973,,
33,Nostoc sp. strain Mac,D,μmol O (mg 2 hr−1 a)−1,0.90,34,12.88,39,,Nostocales,Bottomley & van Baalen 1978,,
34,Nostoc sphaeroides,D,μmol O (mg Chl 2 hr−1 a)−1,21.3,4.5,4.50,25,,Nostocales,Li & Gao 2004,Chl a/DM=0.0056 DM/WM=0.037; colony diam 0.08 cm,
35,Nostoc sphaeroides,D,μmol O (mg Chl 2 hr−1 a)−1,20.3,5.2,5.20,25,,Nostocales,Li & Gao 2004,Chl a/DM=0.0068 DM/WM=0.013; colony diam 0.30 cm,
36,Nostoc sphaeroides,D,μmol O (mg Chl 2 hr−1 a)−1,23.8,7.2,7.20,25,,Nostocales,Li & Gao 2004,Chl a/DM=0.0081 DM/WM=0.015; colony diam 0.67 cm,
37,Nostoc sphaeroides,D,μmol O (mg Chl 2 hr−1 C)−1,35.7,9.5,9.50,25,,Nostocales,Li & Gao 2004,Chl a/DM=0.0071 DM/WM=0.014; colony diam 0.20 cm,
38,Oscillatoria (Limnothrix) van Goor,C,pg C (pg cell day−1 C)−1,0.13,8,16.00,15,,Oscillatoriales,Geider & Osborne 1989 (data of Foy & Gibson 1982),,
39,Oscillatoria (Limnothrix) van Goor,C,pg C (pg cell day−1 DM)−1 hr−1,0.18,12,24.00,15,,Oscillatoriales,Geider & Osborne 1989 (data of Foy & Gibson 1982),,
40,Oscillatoria terebriformis,D,μl O (mg 2,17,29,7.25,45,65,Oscillatoriales,"Richardson & Castenholz 1987 [cell diam 5 μm, Fig. 2A, filamentous]","In nature this thermophilic bacterium moves to anaerobic environments during the night, where it can live without external fructose for 3-4 days; survives aerobically in darkness no more than 1-2 days",6.5e-11
41,Phormidium autumnale Gom.,D,mg C (g ash-free DM)−1 hr−1,0.04,0.12,0.59,2,30,Oscillatoriales,"Davey 1989 [Broady 1991, trichome width 3-5 μm]",Ash/DM=0.60; AFDM/WM=0.04- 0.067,3e-11
42,Phormidium autumnale Gom.,D,mg C (g ash-free DM)−1 hr−1,0.07,0.21,0.84,5,30,Oscillatoriales,"Davey 1989 [Broady 1991, trichome width 3-5 μm]",Ash/DM=0.60; AFDM/WM=0.04- 0.067,3e-11
43,Phormidium autumnale Gom.,D,mg C (g ash-free DM)−1 hr−1,0.1,0.3,0.85,10,30,Oscillatoriales,"Davey 1989 [Broady 1991, trichome width 3-5 μm]",Ash/DM=0.60; AFDM/WM=0.04- 0.067,3e-11
44,Phormidium autumnale Gom.,D,mg C (g ash-free DM)−1 hr−1,0.17,0.5,1.00,15,30,Oscillatoriales,"Davey 1989 [Broady 1991, trichome width 3-5 μm]",Ash/DM=0.60; AFDM/WM=0.04- 0.067,3e-11
45,Phormidium autumnale Gom.,D,mg C (g ash-free DM)−1 hr−1 DM)−1 hr−1,0.3,0.9,1.27,20,30,Oscillatoriales,"Davey 1989 [Broady 1991, trichome width 3-5 μm]",Ash/DM=0.60; AFDM/WM=0.04- 0.067,3e-11
46,Phormidium luridum,D,μl O (mg 2 a)−1,4.3- 5.9,8.5,8.50,25,4.4,Oscillatoriales,"Biggins 1969 [Pasteur Culture Collection, www.pasteur.fr, PCC 7602, width/diameter 1.8- 2.3 μm, filamentous]",stable respiration during 8 hr in darkness,4.400000000000001e-12
47,Planktothrix agardhii,D,mg O (mg Chl 2 hr−1 at Chl a/ODM = 0.0075 protein)−1,0.613,5.4,7.64,20,19,Oscillatoriales,"Fietz & Nicklisch 2002 [Tonk et al. 2005, diam of filaments 3.3 μm]",ODM/V=0.42 C/N=4.0 C/ODM=0.42 Chl a/ODM=0.0075-0.0088; dark respiration measured for 20 min,1.9e-11
48,Plectonema boryanum,Pr,nmol O (mg 2 min−1 protein)−1,5,5.6,5.23,26,4.4,Oscillatoriales,"Padan et al. 1971 [Pasteur Culture Collection, www.pasteur.fr, PCC 6306, width/diameter 1.8- 2.3 μm, filamentous]",respiration of log-harvested cells after incubation for several hr in darkness; stable for several days,4.400000000000001e-12
49,Plectonema boryanum,Pr,nmol O (mg 2 min−1 protein)−1,15-20,20,18.66,26,4.4,Oscillatoriales,"Padan et al. 1971 [Pasteur Culture Collection, www.pasteur.fr, PCC 6306, width/diameter 1.8- 2.3 μm, filamentous]",respiration of log-harvested cells immediately after harvest,4.400000000000001e-12
50,Plectonema boryanum,Pr,nmol O (mg 2 min−1 Chl)−1,55,62,57.85,26,4.4,Oscillatoriales,"Padan et al. 1971 [Pasteur Culture Collection, www.pasteur.fr, PCC 6306, width/diameter 1.8- 2.3 μm, filamentous]",maximum respiration of log- harvested after light incubation in optimal conditions for8-10 hr,4.400000000000001e-12
51,Prochloron sp. (isolated Lissoclinum patella),Chl,μmol O (mg 2 min−1 Chl)−1,0.9,30,24.37,28,5600,Chroococcales,"Alberte et al. 1986 [Cox 1986, Fig. 26, diam 22 μm]",Chl/cell=5.5 pg; low-light culture,5.6e-09
