Species,q25Wkg,Logq25Wkg,Mg,LogMg,TC,qWkg,mass_g,N
Rhodeus amarus,1.184,0.073,0.71,-0.149,16.0,0.7547,0.71,1
Rhodeus sericeus,1.365,0.135,3.00,0.477,12.0,0.7119,3.00,3
Rutilus rutilus,0.684,-0.165,27.00,1.431,8.0,0.2918,27.00,11
Sagamichthys abei,0.244,-0.613,5.70,0.756,5.0,0.0895,5.70,1
Salmo salar,0.556,-0.255,25.00,1.398,7.0,0.2256,25.00,48
Salmo trutta fario,0.478,-0.321,350.00,2.544,10.0,0.2256,350.00,8
Salmo trutta trutta,0.363,-0.440,575.00,2.760,10.0,0.1712,575.00,52
Salvelinus alpinus alpinus,0.513,-0.290,210.00,2.322,15.0,0.3112,210.00,2
Salvelinus fontinalis,0.181,-0.742,690.00,2.839,10.0,0.0856,690.00,147
Salvelinus namaycush,0.197,-0.706,82.80,1.918,9.2,0.0895,82.80,117
Sander lucioperca,0.318,-0.498,600.00,2.778,5.0,0.1167,600.00,8
Sander vitreus,0.325,-0.488,291.00,2.464,20.0,0.2529,291.00,35
Sarda chiliensis lineolata,7.794,0.892,2530.00,3.403,22.0,6.7064,2530.00,1
Sarotherodon galilaeus galilaeus,0.259,-0.587,283.00,2.452,26.0,0.2723,283.00,6
Scardinius erythrophthalmus,1.084,0.035,53.00,1.724,20.0,0.8441,53.00,1
Scopelengys tristis,0.138,-0.860,49.80,1.697,5.0,0.0506,49.80,1
Scopelogadus mizolepis mizolepis,0.212,-0.674,3.60,0.556,5.0,0.0778,3.60,1
Scophthalmus rhombus,0.700,-0.155,145.00,2.161,18.5,0.5057,145.00,3
Scorpaena porcus,0.330,-0.481,50.00,1.699,20.0,0.2567,50.00,3
Scyliorhinus canicula,0.211,-0.676,857.00,2.933,7.0,0.0856,857.00,25
Scyliorhinus stellaris,0.022,-1.658,2530.00,3.403,18.3,0.0156,2530.00,14
Sebastes diploproa,0.965,-0.015,2.00,0.301,10.0,0.4551,2.00,19
Sebastolobus altivelis,0.041,-1.387,198.00,2.297,5.7,0.0156,198.00,6
Seriola quinqueradiata,0.770,-0.114,989.00,2.995,19.2,0.5757,989.00,1
Serranus scriba,1.013,0.006,4.10,0.613,16.0,0.6457,4.10,1
Solea solea,0.709,-0.149,185.00,2.267,14.0,0.4085,185.00,6
Sparus aurata,1.121,0.050,78.00,1.892,18.0,0.7897,78.00,2
Spinachia spinachia,1.955,0.291,0.30,-0.523,18.0,1.3771,0.30,2
Squalus acanthias,0.182,-0.740,1812.00,3.258,9.0,0.0817,1812.00,23
Stenobrachius leucopsarus,0.635,-0.197,4.30,0.633,5.0,0.2334,4.30,2
Stomias atriventer,0.478,-0.321,9.30,0.968,10.0,0.2256,9.30,1
Stomias danae,0.504,-0.298,13.80,1.140,2.5,0.1634,13.80,1
Symbolophorus californiensis,0.911,-0.040,0.80,-0.097,5.0,0.3345,0.80,1
Synbranchus marmoratus,0.140,-0.854,151.00,2.179,25.0,0.1400,151.00,18
Syngnathus acus,1.045,0.019,7.60,0.881,18.5,0.7547,7.60,2
Tarletonbeania crenularis,1.248,0.096,3.29,0.517,8.0,0.5329,3.29,2
Tautogolabrus adspersus,0.710,-0.149,50.00,1.699,20.0,0.5524,50.00,2
Theragra chalcogramma,0.427,-0.370,70.00,1.845,1.0,0.1284,70.00,23
Thorichthys meeki,0.319,-0.496,15.00,1.176,25.0,0.3190,15.00,2
Thymallus arcticus arcticus,0.757,-0.121,283.00,2.452,4.0,0.2645,283.00,16
Tilapia rendalli,0.488,-0.312,50.00,1.699,17.0,0.3268,50.00,7
Tilapia zillii,0.218,-0.662,315.00,2.498,26.0,0.2295,315.00,30
Tinca tinca,0.379,-0.421,541.00,2.733,16.0,0.2412,541.00,21
Torpedo marmorata,0.134,-0.873,448.00,2.651,16.0,0.0856,448.00,3
Torpedo torpedo,0.417,-0.380,315.00,2.498,15.0,0.2529,315.00,2
Trematomus bernacchii,0.176,-0.754,55.20,1.742,0.1,0.0506,55.20,2
Trematomus hansoni,0.939,-0.027,145.00,2.161,-0.9,0.2567,145.00,1
Trematomus pennellii,0.626,-0.203,183.00,2.262,-0.9,0.1712,183.00,1
Trichogaster trichopterus,0.588,-0.231,7.97,0.901,27.0,0.6496,7.97,3
Triphoturus mexicanus,0.381,-0.419,1.15,0.061,5.0,0.1400,1.15,2
Typhlogobius californiensis,0.013,-1.886,3.54,0.549,15.0,0.0078,3.54,34
Xiphophorus hellerii,0.833,-0.079,2.00,0.301,25.0,0.8325,2.00,2
Zoarces viviparus,0.763,-0.117,0.29,-0.538,5.0,0.2801,0.29,8
