species,family,order,M_mg,Q_uW25,mass_g
Cicindela longilabris,Cicindelidae,Coleoptera,124.3,269.6,0.1243
Cicindela repanda,Cicindelidae,Coleoptera,63.4,145.5,0.0634
Paractora dreuxi,Helcomyzidae,Diptera,19.17,243.9,0.019170000000000003
Paractora trichosterna,Helcomyzidae,Diptera,13.26,261.3,0.01326
Antrops truncipennis,Sphaeroceridae,Diptera,2.21,51.6,0.00221
Drosophila americana,Drosophilidae,Diptera,1.1,15.3,0.0011
Drosophila melanogaster,Drosophilidae,Diptera,0.95,32.0,0.00095
Drosophila mimica,Drosophilidae,Diptera,2.44,49.5,0.00244
Drosophila nikananu,Drosophilidae,Diptera,0.49,19.4,0.00049
Drosophila repleta,Drosophilidae,Diptera,3.43,32.3,0.0034300000000000003
Drosophila virilis,Drosophilidae,Diptera,1.67,45.7,0.0016699999999999998
Glossina morsitans,Glossinidae,Diptera,22.34,123.5,0.02234
Glossina pallidipes,Glossinidae,Diptera,38.45,374.3,0.038450000000000005
Musca autumnalis,Muscidae,Diptera,22.0,360.8,0.022
Musca domestica,Muscidae,Diptera,18.0,587.6,0.018
Phormia regina,Calliphoridae,Diptera,50.0,541.5,0.05
Protophormia terraenovae,Calliphoridae,Diptera,25.0,225.2,0.025
Pilica formidolosa,Asilidae,Diptera,200.0,789.8,0.2
Promachus sp.,Asilidae,Diptera,180.0,1447.4,0.18
Tabanus affinis,Tabanidae,Diptera,161.7,114.5,0.16169999999999998
Pantophthalmus tabaninus,Pantophthalmidae,Diptera,1746.0,3036.9,1.746
Simulium venustum,Simuliidae,Diptera,2.53,86.0,0.0025299999999999997
Chironomus riparius,Chironomidae,Diptera,1.0,16.1,0.001
Aëdes campestris,Culicidae,Diptera,6.72,295.0,0.006719999999999999
Culex tarsalis87 Culicidae,Diptera,2.23,23.0,6.0,0.023
Xenopsilla ramesis,Pulicidae,Siphonaptera,0.16,0.6,0.00016
Vanessa io,Nymphalidae,Lepidoptera,230.0,922.2,0.23
Thais cassandra,Papilionidae,Lepidoptera,130.0,3488.4,0.13
